last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Wadsworth,Jeremiah,,,,,1743-07-12,M,rep,CT,-1,,,,,,,,,,,,,,W000013,,,,,,411192,,,,9706,Jeremiah Wadsworth
Walker,Francis,,,,,1764-06-22,M,rep,VA,14,,,,,,,,,,,,,,W000051,,,,,,411230,,,,9739,Francis Walker (Virginia politician)
Ward,Artemas,,,,,1727-11-26,M,rep,MA,2,,,,,,,,,,,,,,W000127,,,,,,411302,,,,9808,Artemas Ward
Watts,John,,,,,1749-08-27,M,rep,NY,1,,,,,,,,,,,,,,W000211,,,,,,411380,,,,9881,John Watts (New York politician)
Williams,Benjamin,,,,,1751-01-01,M,rep,NC,10,,,,,,,,,,,,,,W000491,,,,,,411648,,,,10136,Benjamin Williams
Wingate,Paine,,,,,1739-05-14,M,rep,NH,-1,,,,,,,,,,,,,,W000633,,,,,,411787,,,,10272,Paine Wingate
Tazewell,Henry,,,,,1753-11-27,M,sen,VA,,2,Republican,,,,,,,,,,,,T000107,,,,,,410689,,,,9238,Henry Tazewell
Walton,George,,,,,,M,sen,GA,,2,Federalist,,,,,,,,,,,,W000114,,,,,,412123,,,,9796,George Walton
Ames,Fisher,,,,,1758-04-09,M,rep,MA,8,,Federalist,,,,,,,,,,,,A000174,,,,,,400829,,,,154,Fisher Ames
Bingham,William,,,,,1752-03-08,M,sen,PA,,3,Federalist,,,,,,,,,,,,B000474,,,,,,401455,,,,719,William Bingham
Bloodworth,Timothy,,,,,,M,sen,NC,,3,Republican,,,,,,,,,,,,B000563,,,,,,401537,,,,800,Timothy Bloodworth
Bourne,Benjamin,,,,,1755-09-09,M,rep,RI,-1,,Federalist,,,,,,,,,,,,B000669,,,,,,401631,,,,884,Benjamin Bourne
Buck,Daniel,,,,,1753-11-09,M,rep,VT,2,,Federalist,,,,,,,,,,,,B001014,,,,,,401964,,,,1195,Daniel Buck
Coles,Isaac,,,,,1747-03-02,M,rep,VA,6,,Republican,,,,,,,,,,,,C000624,,,,,,402753,,,,1936,Isaac Coles
Crabb,Jeremiah,,,,,,M,rep,MD,3,,Federalist,,,,,,,,,,,,C000848,,,,,,402964,,,,2125,Jeremiah Crabb
Dearborn,Henry,,,,,1751-02-23,M,rep,MA,12,,Republican,,,,,,,,,,,,D000178,,,,,,403340,,,,2451,Henry Dearborn
Duvall,Gabriel,,,,,1752-12-06,M,rep,MD,2,,Republican,,,,,,,,,,,,D000578,,,,,,403681,,Gabriel Duvall,,2796,Gabriel Duvall
Earle,Samuel,,,,,1760-11-28,M,rep,SC,6,,Republican,,,,,,,,,,,,E000010,,,,,,403706,,,,2816,Samuel Earle
Gilbert,Ezekiel,,,,,1756-03-25,M,rep,NY,6,,Federalist,,,,,,,,,,,,G000173,,,,,,404539,,,,3573,Ezekiel Gilbert
Greenup,Christopher,,,,,,M,rep,KY,1,,Republican,,,,,,,,,,,,G000434,,,,,,404782,,,,3798,Christopher Greenup
Gunn,James,,,,,1753-03-13,M,sen,GA,,3,Federalist,,,,,,,,,,,,G000526,,,,,,404870,,,,3877,James Gunn (Georgia politician)
Hancock,George,,,,,1754-06-13,M,rep,VA,5,,Federalist,,,,,,,,,,,,H000148,,,,,,405030,,,,4026,George Hancock (Virginia politician)
Hathorn,John,,,,,1749-01-09,M,rep,NY,4,,Republican,,,,,,,,,,,,H000348,,,,,,405217,,,,4193,John Hathorn
Heath,John,,,,,1758-05-08,M,rep,VA,19,,Republican,,,,,,,,,,,,H000431,,,,,,405297,,,,4269,John Heath (politician)
Henderson,Thomas,,,,,1743-08-15,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,H000488,,,,,,405351,,,,4315,Thomas Henderson (New Jersey politician)
Henry,John,,,,,,M,sen,MD,,3,Federalist,,,,,,,,,,,,H000508,,,,,,405370,,,,4333,John Henry (Maryland politician)
Langdon,John,,,,,1741-06-26,M,sen,NH,,3,Republican,,,,,,,,,,,,L000067,,,,,,406576,,,,5449,John Langdon (politician)
Leonard,George,,,,,1729-07-04,M,rep,MA,7,,Federalist,,,,,,,,,,,,L000246,,,,,,406749,,,,5611,George Leonard (congressman)
Lyman,William,,,,,1755-12-07,M,rep,MA,2,,Republican,,,,,,,,,,,,L000530,,,,,,407014,,,,5852,William Lyman (congressman)
Marshall,Humphrey,,,,,,M,sen,KY,,3,Federalist,,,,,,,,,,,,M000155,,,,,,407176,,,,6000,Humphrey Marshall (politician)
Muhlenberg,Frederick,Augustus Conrad,,,,1750-01-01,M,rep,PA,2,,Republican,,,,,,,,,,,,M001063,,,,,,408029,,,,6781,Frederick Muhlenberg
Murray,William,Vans,,,,1760-02-09,M,rep,MD,8,,Federalist,,,,,,,,,,,,M001119,,,,,,408082,,,,6830,William Vans Murray
Orr,Alexander,Dalrymple,,,,1761-11-06,M,rep,KY,2,,Republican,,,,,,,,,,,,O000101,,,,,,408358,,,,7084,Alexander D. Orr
Page,John,,,,,1743-04-17,M,rep,VA,12,,Republican,,,,,,,,,,,,P000018,,,,,,408429,,,,7156,John Page (Virginia politician)
Paine,Elijah,,,,,1757-01-21,M,sen,VT,,3,Federalist,,,,,,,,,,,,P000026,,,,,,408437,,,,7164,Elijah Paine
Patten,John,,,,,1746-04-26,M,rep,DE,0,,Republican,,,,,,,,,,,,P000108,,,,,,408516,,,,7235,John Patten (American politician)
Preston,Francis,,,,,1765-08-02,M,rep,VA,4,,Republican,,,,,,,,,,,,P000514,,,,,,408899,,,,7603,Francis Preston
Read,Jacob,,,,,,M,sen,SC,,3,Federalist,,,,,,,,,,,,R000092,,,,,,409072,,,,7763,Jacob Read
Richards,John,,,,,1753-04-18,M,rep,PA,4,,Republican,,,,,,,,,,,,R000215,,,,,,409191,,,,7870,John Richards (Pennsylvania politician)
Rutherford,Robert,,,,,1728-10-20,M,rep,VA,1,,Republican,,,,,,,,,,,,R000548,,,,,,409504,,,,8148,Robert Rutherford (congressman)
Sherburne,John,Samuel,,,,,M,rep,NH,-1,,Republican,,,,,,,,,,,,S000339,,,,,,409836,,,,8448,John S. Sherburne
Smith,Isaac,,,,,,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,S000555,,,,,,410037,,,,8637,Isaac Smith (New Jersey politician)
Sprigg,Thomas,,,,,,M,rep,MD,4,,Republican,,,,,,,,,,,,S000753,,,,,,410220,,,,8811,Thomas Sprigg
Strudwick,William,Francis,,,,,M,rep,NC,4,,Federalist,,,,,,,,,,,,S001029,,,,,,412181,,,,9048,William Francis Strudwick
Swift,Zephaniah,,,,,1759-02-27,M,rep,CT,-1,,Federalist,,,,,,,,,,,,S001119,,,,,,410571,,,,9127,Zephaniah Swift
Tatom,Absalom,,,,,,M,rep,NC,4,,Republican,,,,,,,,,,,,T000050,,,,,,410638,,,,9187,Absalom Tatom
Trumbull,Jonathan,,Jr.,,,1740-03-26,M,sen,CT,,3,Federalist,,,,,,,,,,,,T000389,,,,,,410958,,,,9489,Jonathan Trumbull Jr.
White,James,,,,,1749-06-16,M,rep,TN,-1,,,,,,,,,,,,,,W000377,,,,,,411538,,,,,James White (North Carolina politician)
Blount,William,,,,,1749-03-26,M,sen,TN,,2,Republican,,,,,,,,,,,,B000570,,,,,,401543,,,,806,William Blount
Goodhue,Benjamin,,,,,1748-09-20,M,sen,MA,,1,Federalist,,,,,,,,,,,,G000286,,,,,,404647,,,,3674,Benjamin Goodhue
Howard,John,Eager,,,,1752-06-04,M,sen,MD,,1,Federalist,,,,,,,,,,,,H000841,,,,,,405688,,,,4628,John Eager Howard
Hunter,John,,,,,,M,sen,SC,,2,Republican,,,,,,,,,,,,H000982,,,,,,412128,,,,4753,John Hunter (South Carolina politician)
Laurance,John,,,,,,M,sen,NY,,3,Federalist,,,,,,,,,,,,L000120,,,,,,406626,,,,5498,John Laurance
Tattnall,Josiah,,,,,,M,sen,GA,,2,Republican,,,,,,,,,,,,T000052,,,,,,410640,,,,9189,Josiah Tattnall (politician)
Allen,John,,,,,1763-06-12,M,rep,CT,-1,,Federalist,,,,,,,,,,,,A000129,,,,,,400785,,,,112,John Allen (Connecticut politician)
Benton,Lemuel,,,,,,M,rep,SC,3,,Republican,,,,,,,,,,,,B000396,,,,,,401387,,,,656,Lemuel Benton
Bradbury,Theophilus,,,,,1739-11-13,M,rep,MA,11,,Federalist,,,,,,,,,,,,B000735,,,,,,401695,,,,947,Theophilus Bradbury
Brooks,David,,,,,,M,rep,NY,5,,Federalist,,,,,,,,,,,,B000875,,,,,,401832,,,,1072,David Brooks (American politician)
Bryan,Nathan,,,,,,M,rep,NC,10,,Republican,,,,,,,,,,,,B000991,,,,,,401943,,,,1176,Nathan Bryan (North Carolina politician)
Bullock,Stephen,,,,,1735-10-10,M,rep,MA,7,,Federalist,,,,,,,,,,,,B001053,,,,,,402001,,,,1232,Stephen Bullock
Burges,Dempsey,,,,,,M,rep,NC,8,,Republican,,,,,,,,,,,,B001081,,,,,,402027,,,,1255,Dempsey Burgess
Chapman,John,,,,,1740-10-18,M,rep,PA,4,,Federalist,,,,,,,,,,,,C000313,,,,,,402455,,,,1655,John Chapman (Pennsylvania politician)
Chipman,Nathaniel,,,,,1752-11-15,M,sen,VT,,1,Federalist,,,,,,,,,,,,C000369,,,,,,402508,,,,1706,Nathaniel Chipman
Cochran,James,,,,,1769-02-11,M,rep,NY,10,,Federalist,,,,,,,,,,,,C000563,,,,,,402694,,,,1881,James Cochran (New York politician)
Coit,Joshua,,,,,1758-10-07,M,rep,CT,-1,,Federalist,,,,,,,,,,,,C000600,,,,,,402729,,,,1914,Joshua Coit
Davenport,James,,,,,1758-10-12,M,rep,CT,-1,,Federalist,,,,,,,,,,,,D000073,,,,,,403211,,,,2355,James Davenport (Connecticut politician)
Ege,George,,,,,1748-03-09,M,rep,PA,5,,Federalist,,,,,,,,,,,,E000089,,,,,,403782,,,,2881,George Ege
Foster,Theodore,,,,,1752-04-29,M,sen,RI,,1,Republican,,,,,,,,,,,,F000313,,,,,,404262,,,,3315,Theodore Foster
Freeman,Nathaniel,,Jr.,,,1766-05-01,M,rep,MA,5,,Republican,,,,,,,,,,,,F000365,,,,,,404311,,,,3358,Nathaniel Freeman Jr.
Harrison,Carter,Bassett,,,,,M,rep,VA,10,,Republican,,,,,,,,,,,,H000266,,,,,,412155,,,,4127,Carter Bassett Harrison
Hosmer,Hezekiah,Lord,,,,1765-06-07,M,rep,NY,6,,Federalist,,,,,,,,,,,,H000803,,,,,,405652,,,,4593,Hezekiah L. Hosmer
Latimer,Henry,,,,,1752-04-24,M,sen,DE,,1,Federalist,,,,,,,,,,,,L000115,,,,,,406621,,,,5494,Henry Latimer (politician)
Lloyd,James,,,,,,M,sen,MD,,3,Federalist,,,,,,,,,,,,L000377,,,,,,406869,,,,5725,James Lloyd (Maryland politician)
Locke,Matthew,,,,,,M,rep,NC,2,,Republican,,,,,,,,,,,,L000389,,,,,,406881,,,,5734,Matthew Locke (U.S. Congress)
Machir,James,,,,,,M,rep,VA,3,,Federalist,,,,,,,,,,,,M000013,,,,,,412066,,,,5879,James Machir
Mason,Stevens,Thomson,,,,1760-12-29,M,sen,VA,,1,Republican,,,,,,,,,,,,M000226,,,,,,407244,,,,6063,Stevens Thomson Mason (senator)
Matthews,William,,,,,1755-04-26,M,rep,MD,6,,Federalist,,,,,,,,,,,,M000256,,,,,,407274,,,,6087,William Matthews (politician)
McClenachan,Blair,,,,,,M,rep,PA,2,,Republican,,,,,,,,,,,,M000336,,,,,,412070,,,,6155,Blair McClenachan
McDowell,Joseph,,,,,1756-02-15,M,rep,NC,1,,Republican,,,,,,,,,,,,M000423,,,,,,407424,,,,6229,Joseph McDowell Jr.
Morgan,Daniel,,,,,,M,rep,VA,1,,Federalist,,,,,,,,,,,,M000946,,,,,,407914,,,,6674,Daniel Morgan
Parker,Isaac,,,,,1768-06-17,M,rep,MA,12,,Federalist,,,,,,,,,,,,P000058,,,,,,408468,,,,7192,Isaac Parker (Massachusetts judge)
Ross,James,,,,,1762-07-12,M,sen,PA,,1,Federalist,,,,,,,,,,,,R000448,,,,,,409412,,,,8070,James Ross (Pennsylvania politician)
Rutherfurd,John,,,,,1760-09-20,M,sen,NJ,,1,Federalist,,,,,,,,,,,,R000550,,,,,,409506,,,,8150,John Rutherfurd
Schuyler,Philip,John,,,,1733-11-20,M,sen,NY,,1,Federalist,,,,,,,,,,,,S000154,,,,,,409661,,,,8282,Philip Schuyler
Sinnickson,Thomas,,,,,1744-12-21,M,rep,NJ,-1,,Federalist,,,,,,,,,,,,S000448,,,,,,409941,,,,8544,Thomas Sinnickson (merchant)
Sitgreaves,Samuel,,,,,1764-03-16,M,rep,PA,4,,Federalist,,,,,,,,,,,,S000460,,,,,,409952,,,,8555,Samuel Sitgreaves
Smith,Jeremiah,,,,,1759-11-29,M,rep,NH,-1,,Federalist,,,,,,,,,,,,S000563,,,,,,410045,,,,8644,Jeremiah Smith (lawyer)
Smith,Nathaniel,,,,,1762-01-06,M,rep,CT,-1,,Federalist,,,,,,,,,,,,S000595,,,,,,410075,,,,8671,Nathaniel Smith
Smith,William,,,,,1751-09-20,M,rep,SC,6,,Republican,,,,,,,,,,,,S000625,,,,,,410100,,,,8695,"William Smith (South Carolina politician, born 1751)"
Smith,William,Loughton,,,,,M,rep,SC,1,,Federalist,,,,,,,,,,,,S000633,,,,,,410107,,,,8702,William Loughton Smith
