bioguide,thomas,govtrack,id,address,building,city,fax,hours,phone,state,suite,zip,latitude,longitude
A000367,02029,412438,A000367-grand_rapids,110 Michigan St. NW,,Grand Rapids,616-454-5630,Monday-Friday 9:00AM-5:00PM,616-451-8383,MI,Suite 460,49503,42.96997460000001,-85.67097419999999
A000369,02090,412500,A000369-elko,905 Railroad St.,,Elko,775-753-9984,,775-777-7705,NV,Suite 104 D,89801,40.8355439,-115.7586349
A000369,02090,412500,A000369-reno,5310 Kietzke Ln.,,Reno,775-686-5711,,775-686-5760,NV,Suite 103,89511,39.4715058,-119.791273
A000370,02201,412607,A000370-charlotte,801 E. Morehead St.,,Charlotte,704-344-9971,M-F 9-6pm,704-344-9950,NC,Suite 150,28202,35.215055,-80.8452162
A000371,02229,412615,A000371-san_bernardino,685 E. Carnegie Dr.,,San Bernardino,909-890-9643,,909-890-4445,CA,Suite 100,92408,34.068627,-117.270925
A000372,02239,412625,A000372-augusta,2743 Perimeter Pkwy,Bldg. 200,Augusta,706-228-1954,,706-228-1980,GA,Suite 225,30909,33.4875735,-82.08466659999999
A000372,02239,412625,A000372-dublin,100 S. Church St.,,Dublin,478-277-0113,,478-272-4030,GA,,31021,32.5383565,-82.9084154
A000372,02239,412625,A000372-statesboro,50 E. Main St.,,Statesboro,912-243-9453,,912-243-9452,GA,,30458,32.4484951,-81.781533
A000372,02239,412625,A000372-vidalia,107 Old Airport Rd.,,Vidalia,,,912-403-3311,GA,Suite A,30475,32.2046881,-82.37632649999999
A000374,02244,412630,A000374-alexandria,2003 MacArthur Dr.,,Alexandria,318-445-3776,,318-445-0818,LA,Bldg. 5,71301,31.27656,-92.46964
A000374,02244,412630,A000374-monroe,426 DeSiard St.,,Monroe,318-322-3577,,318-322-3500,LA,,71201,32.5036093,-92.1144236
A000375,,412726,A000375-abilene,500 Chestnut St.,,Abilene,325-675-5038,,325-675-9779,TX,Suite 819,79602,32.4443053,-99.73461449999999
A000375,,412726,A000375-lubbock,1312 Texas Ave.,,Lubbock,806-767-9168,,806-763-1611,TX,Suite 219,79401,33.5830588,-101.8456125
B000490,00091,400030,B000490-albany,235 W. Roosevelt Ave.,Albany Towers,Albany,229-436-2099,M-F 9-5:30pm,229-439-8067,GA,Suite 114,31701,31.5819859,-84.15300719999999
B000490,00091,400030,B000490-columbus,18 Ninth St.,,Columbus,706-320-9479,Mon-Fri 9-5:30pm,706-320-9477,GA,Suite 201,31901,32.4625755,-84.9922596
B000490,00091,400030,B000490-macon,300 Mulberry Street,,Macon,478-803-2637,Mon-Fri 9am-5:30pm,478-803-2631,GA,Suite 502,31201,32.8356646,-83.6267623
B000574,00099,400033,B000574-portland,911 N.E. 11th Ave.,,Portland,503-230-5413,,503-231-2300,OR,Suite 200,97232,45.5293348,-122.6555902
B000575,01464,400034,B000575-cape_girardeau,338 Broadway,,Cape Girardeau,573-334-7352,,573-334-7044,MO,Suite 303,63701,37.3064303,-89.5241403
B000575,01464,400034,B000575-clayton,7700 Bonhomme Ave.,,Clayton,314-727-3548,,314-725-4484,MO,Suite 315,63105,38.647051,-90.3351311
B000575,01464,400034,B000575-columbia,1123 Wilkes Blvd,,Columbia,573-442-8162,,573-442-8151,MO,Suite 320,65201,38.9606243,-92.3229127
B000575,01464,400034,B000575-kansas_city,1000 Walnut St.,,Kansas City,816-471-7338,,816-471-7141,MO,Suite 1560,64106,39.1021449,-94.5825038
B000575,01464,400034,B000575-springfield,2740 B E. Sunshine,,Springfield,417-823-9662,,417-877-7814,MO,,65804,37.180415,-93.240439
B000755,01468,400046,B000755-conroe,200 River Pt.,,Conroe,936-441-5757,,936-441-5700,TX,Suite 304,77304,30.2844625,-95.4613914
B000755,01468,400046,B000755-huntsville,1300 11th St.,,Huntsville,936-439-9546,,936-439-9532,TX,Suite 400,77340,30.7240052,-95.5535049
B000944,00136,400050,B000944-cincinnati,425 Walnut St.,,Cincinnati,513-684-1029,,513-684-1021,OH,Suite 2310,45202,39.1007745,-84.5120256
B000944,00136,400050,B000944-cleveland,801 W. Superior Ave.,,Cleveland,216-522-2239,,216-522-7272,OH,Suite 1400,44113,41.4964399,-81.6975439
B000944,00136,400050,B000944-columbus,200 N. High St.,,Columbus,614-469-2171,,614-469-2083,OH,Room 614,43215,39.9666883,-83.000974
B000944,00136,400050,B000944-lorain,200 W. Erie Ave.,,Lorain,440-242-4108,,440-242-4100,OH,Suite 312,44052,41.4685695,-82.1792684
B001135,00153,400054,B001135-asheville,151 Patton Ave.,Federal Building,Asheville,828-350-2439,By appointment only,828-350-2437,NC,Suite 204,28801,35.594066,-82.55792
B001135,00153,400054,B001135-rocky_mount,100 Coast Line St.,,Rocky Mount,252-977-7902,By appointment only.,252-977-9522,NC,Room 210,27804,35.9379802,-77.7977748
B001135,00153,400054,B001135-wilmington,201 N. Front St.,,Wilmington,910-251-7975,,888-848-1833,NC,Suite 809,28401,34.2376985,-77.9492582
B001135,00153,400054,B001135-winston_salem,2000 W. First St.,,Winston-Salem,336-725-4493,,336-631-5125,NC,Suite 508,27104,36.0960116,-80.27480249999999
B001230,01558,400013,B001230-eau_claire,500 South Barstow St.,,Eau Claire,,,715-832-8424,WI,Suite LL2,54701,44.8088044,-91.5330934
B001230,01558,400013,B001230-green_bay,1039 W. Mason,,Green Bay,,,920-498-2668,WI,Suite 119,54303,44.5151063,-88.0413549
B001230,01558,400013,B001230-la_crosse,205 5th Avenue South,,La Crosse,,,608-796-0045,WI,Room 216,54601,43.8109182,-91.24976400000001
B001230,01558,400013,B001230-madison,30 W. Mifflin St.,,Madison,,,608-264-5338,WI,Suite 700,53703,43.07506559999999,-89.38647139999999
B001230,01558,400013,B001230-milwaukee,633 W. Wisconsin Ave.,,Milwaukee,,,414-297-4451,WI,Suite 1920,53203,43.0388214,-87.9200848
B001230,01558,400013,B001230-wausau,2100 Stewart Ave.,,Wausau,,,715-261-2611,WI,Suite 250 B,54401,44.9591474,-89.6628755
B001236,01687,400040,B001236-el_dorado,106 W. Main St.,,El Dorado,870-863-4105,,870-863-4641,AR,Suite 104,71730,33.2120448,-92.664046
B001236,01687,400040,B001236-fort_smith,1120 Garrison Ave.,,Fort Smith,479-573-0553,,479-573-0189,AR,Suite 2B,72901,35.383512,-94.42033099999999
B001236,01687,400040,B001236-jonesboro,300 S. Church St.,,Jonesboro,870-268-6887,,870-268-6925,AR,Suite 400,72401,35.8404281,-90.70368549999999
B001236,01687,400040,B001236-little_rock,1401 W. Capitol Ave.,,Little Rock,501-372-7163,,501-372-7153,AR,Suite 155,72201,34.7456872,-92.2865752
B001236,01687,400040,B001236-lowell,213 W. Monroe,,Lowell,479-725-0408,,479-725-0400,AR,Suite N,72745,36.2535183,-94.1393049
B001236,01687,400040,B001236-mountain_home,1001 Hwy 62 East,,Mountain Home,870-424-0141,,870-424-0129,AR,Suite 11,72653,36.3499306,-92.3729619
B001236,01687,400040,B001236-stuttgart,620 E. 22nd St.,,Stuttgart,870-672-6962,,870-672-6941,AR,Suite 204,72160,34.478784,-91.54664090000001
B001243,01748,400032,B001243-clarksville,128 N. 2nd St.,,Clarksville,931-503-0393,,931-503-0391,TN,Suite 104,37040,36.5285913,-87.35942089999999
B001243,01748,400032,B001243-franklin,305 Public Sq.,,Franklin,615-599-2916,,615-591-5161,TN,Suite 212,37064,35.9250525,-86.86924189999999
B001248,01751,400052,B001248-lake_dallas,2000 S. Stemmons Fwy.,,Lake Dallas,940-497-5067,,940-497-5031,TX,Suite 200,75065,33.1213325,-97.0327015
B001250,01753,400029,B001250-brigham_city,6 N. Main St.,,Brigham City,,Staffed only part time,801-625-0107,UT,,84302,41.5106602,-112.0154202
B001250,01753,400029,B001250-ogden,324 25th St.,Federal Building,Ogden,801-625-0124,,801-625-0107,UT,1017,84401,41.2206774,-111.9726125
B001250,01753,400029,B001250-vernal,152 E. 100 N.,,Vernal,,Staffed only part time,435-781-5302,UT,,84078,40.4563399,-109.5289541
B001251,01761,400616,B001251-durham,2741 Campus Walk Ave.,Bldg. 400,Durham,919-908-0169,,919-908-0164,NC,Suite 300,27705,36.0098844,-78.9533296
B001251,01761,400616,B001251-wilson,216 NE Nash St.,,Wilson,252-291-0356,,252-237-9816,NC,Suite B,27893,35.728383,-77.9131079
B001257,01838,412250,B001257-new_port_richey,7132 Little Rd.,,New Port Richey,727-232-2923,,727-232-2921,FL,,34654,28.261156,-82.674347
B001257,01838,412250,B001257-tarpon_springs,38500 US Highway 19 North,,Tarpon Springs,727-940-5861,,727-940-5860,FL,Room BB-038,34689,28.121418,-82.74161199999999
B001260,01840,412196,B001260-bradenton,1051 Manatee Ave West,,Bradenton,941-748-1564,,941-747-9081,FL,Suite 305,34205,27.4945988,-82.5724073
B001260,01840,412196,B001260-sarasota,111 S. Orange Ave.,,Sarasota,941-951-2972,,941-951-6643,FL,"Floor 2R, Suite 202W",34236,27.3353999,-82.5382987
B001261,01881,412251,B001261-casper,100 E. B St.,,Casper,,,307-261-6413,WY,Suite 2004,82601,42.8524124,-106.3248373
B001261,01881,412251,B001261-cheyenne,2120 Capitol Ave.,,Cheyenne,,,307-772-2451,WY,Suite 2013,82001,41.1374591,-104.8189674
B001261,01881,412251,B001261-riverton,324 E. Washington Ave.,,Riverton,,,307-856-6642,WY,,82501,43.0238609,-108.386731
B001261,01881,412251,B001261-rock_springs,1575 Dewar Drive,Commerce Bank,Rock Springs,,,307-362-5012,WY,Suite 218,82901,41.5742346,-109.2423116
B001261,01881,412251,B001261-sheridan,2 N. Main St.,,Sheridan,,,307-672-6456,WY,Suite 206,82801,44.7974506,-106.9562525
B001267,01965,412330,B001267-alamosa,609 Main St.,,Alamosa,,,719-587-0096,CO,Suite 110,81101,37.4685012,-105.8659434
B001267,01965,412330,B001267-colorado_springs,409 N. Tejon St.,,Colorado Springs,719-328-1129,,719-328-1100,CO,Suite 107,80903,38.8400247,-104.8228748
B001267,01965,412330,B001267-denver,1244 Speer Blvd.,Cesar E. Chavez Memorial Building,Denver,303-455-8851,,303-455-7600,CO,,80204,39.7364704,-104.994978
B001267,01965,412330,B001267-durango,835 E. 2nd Ave.,,Durango,,,970-259-1710,CO,Suite 206,81301,37.2725939,-107.8799634
B001267,01965,412330,B001267-fort_collins,1200 S. College Ave.,,Fort Collins,970-224-2205,,970-224-2200,CO,Suite 211,80524,40.5716714,-105.0766516
B001267,01965,412330,B001267-grand_junction,225 N. 5th St.,,Grand Junction,,,970-241-6631,CO,Suite 511,81501,39.0688046,-108.5648398
B001267,01965,412330,B001267-pueblo,129 W. B St.,,Pueblo,,,719-542-7550,CO,,81003,38.2795281,-104.508253
B001270,01996,412404,B001270-los_angeles,4929 Wilshire Blvd.,,Los Angeles,323-965-1113,,323-965-1422,CA,Suite 650,90010,34.06264360000001,-118.3381029
B001274,01987,412395,B001274-decatur,302 Lee St.,,Decatur,256-355-9406,,256-355-9400,AL,Room 86,35601,34.6069984,-86.9849204
B001274,01987,412395,B001274-florence,102 S. Court St.,,Florence,256-718-5156,,256-718-5155,AL,Suite 310,35630,34.8002305,-87.6771285
B001274,01987,412395,B001274-huntsville,2101 W. Clinton Ave.,,Huntsville,256-551-0194,,256-551-0190,AL,Suite 302,35805,34.7252133,-86.5977423
B001275,02018,412427,B001275-evansville,420 Main St.,,Evansville,812-422-4761,Monday-Friday 8:30am-5:00pm CT,812-465-6484,IN,Suite 1402,47708,37.9722214,-87.5705016
B001275,02018,412427,B001275-jasper,610 Main St.,,Jasper,,1st and 3rd Tuesday of the month 10:00am - 1:00pm ET,,IN,First Floor Small Conference Room,47547,38.3919787,-86.9304537
B001275,02018,412427,B001275-terre_haute,901 Wabash Ave.,,Terre Haute,812-232-0526,8:30am - 5:00pm ET,812-232-0523,IN,Suite 140,47807,39.466224,-87.4042291
B001275,02018,412427,B001275-vincennes,1500 N. Chestnut St.,,Vincennes,,1st and 3rd Wednesday of the month 9:00am - 12:00pm ET,,IN,,47591,38.6911192,-87.52073879999999
B001277,02076,412490,B001277-bridgeport,915 Lafayette Blvd.,,Bridgeport,203-330-0608,,203-330-0598,CT,Suite 304,06604,41.1749972,-73.1931954
B001277,02076,412490,B001277-hartford,90 State House Sq.,,Hartford,860-258-6958,,860-258-6940,CT,10th Floor,06103,41.7665316,-72.6719747
B001278,02092,412501,B001278-beaverton,12725 SW Millikan Way,,Beaverton,503-469-6018,Monday-Friday 9:00AM-5:00PM,503-469-6010,OR,Suite 220,97005,45.4900502,-122.8078224
B001281,02153,412565,B001281-columbus,471 E. Broad St.,,Columbus,614-220-5640,Monday-Friday 9:00am-5:00pm,614-220-0003,OH,Suite 1100,43215,39.9633834,-82.9878075
B001282,02131,412541,B001282-lexington,2709 Old Rosebud Rd.,,Lexington,,M-F 9:00-5:00pm,859-219-1366,KY,,40509,38.0283634,-84.4193762
B001284,02129,412539,B001284-anderson,120 E. 8th St.,,Anderson,765-640-5116,Mon-Fri 8:30am-5pm,765-640-5115,IN,Suite 101,46016,40.1083423,-85.67763939999999
B001284,02129,412539,B001284-carmel,11611 N. Meridian Street,,Carmel,317-846-7306,Mon-Fri 8:30 am - 5:00 pm,317-848-0201,IN,Suite 415,46032,39.95690889999999,-86.1563927
B001285,02106,412516,B001285-oxnard,201 East Fourth St.,,Oxnard,805-379-1799,Call to make an appointment,805-379-1779,CA,Suite 209B,93030,34.1993342,-119.1783991
B001285,02106,412516,B001285-thousand_oaks,223 E. Thousand Oaks Blvd.,,Thousand Oaks,805-379-1799,"Monday-Thursday 9:00am-5:30pm PT,Friday 9:00am-5:00pm PT",805-379-1779,CA,Suite 220,91360,34.1794905,-118.8726791
B001286,02127,412537,B001286-peoria,820 SW Adams St,,Peoria,,,309-966-1813,IL,,61602,40.6855433,-89.5987706
B001286,02127,412537,B001286-rock_island,2401 4th Ave.,,Rock Island,309-786-3720,,309-786-3406,IL,,61201,41.5089919,-90.5662359
B001286,02127,412537,B001286-rockford,119 N. Church St.,,Rockford,,,815-968-8011,IL,Suite 207 & 208,61101,42.2720192,-89.0952944
B001287,02102,412512,B001287-sacramento,8950 Cal Center Dr.,Building 3,Sacramento,916-635-0514,M-F 9am -6pm,916-635-0505,CA,Suite 100,95826,38.5553768,-121.3738588
B001288,02194,412598,B001288-camden,2 Riverside Dr.,One Port Center,Camden,856-338-8936,,856-338-8922,NJ,Suite 505,08101,39.9443128,-75.1296174
B001288,02194,412598,B001288-newark,One Gateway Center,,Newark,973-639-8723,,973-639-8700,NJ,23rd Floor,07102,40.7344571,-74.1657213
B001289,02197,412601,B001289-mobile,11 N. Water St.,,Mobile,,,251-690-2811,AL,Suite 15290,36602,30.693117,-88.039675
B001289,02197,412601,B001289-summerdale,502 W. Lee Ave.,,Summerdale,,,251-989-2664,AL,,36580,30.4834677,-87.7041946
B001291,02270,412655,B001291-deer_park,203 Ivy Ave.,,Deer Park,832-780-0964,,832-780-0966,TX,Suite 600,77536,29.7089323,-95.12126239999999
B001291,02270,412655,B001291-orange,1201 Childers Rd.,,Orange,409-886-9918,,409-883-8075,TX,,77630,30.0800116,-93.7314932
B001291,02270,412655,B001291-woodville,100 W. Bluff Dr.,Tyler County Courthouse,Woodville,,,409-331-8077,TX,,75979,30.7753424,-94.41539859999999
B001292,02272,412657,B001292-alexandria,5285 Shawnee Rd.,,Alexandria,703-658-5408,,703-658-5403,VA,Suite 250,22312,38.8086036,-77.165008
B001295,02243,412629,B001295-alton,101 E. Third St.,,Alton,,First Thursday of every month from 9:00 a.m. until 11:00 a.m.,618-622-0766,IL,,62002,38.8906416,-90.18395149999999
B001295,02243,412629,B001295-carbondale,300 E. Main St.,Hunter Building,Carbondale,618-457-2990,,618-457-5787,IL,Suite 4,62901,37.7277729,-89.2134992
B001295,02243,412629,B001295-granite_city,2000 Edison Ave.,City Hall,Granite City,,The third Thursday of each month from 1:00 p.m. to 4:00 p.m.,618-622-0766,IL,,62040,38.7015611,-90.14887449999999
B001295,02243,412629,B001295-mt__vernon,1100 Main St.,Mt. Vernon City Hall,Mt. Vernon,,Tuesdays 9 a.m. to 12 p.m.,618-513-5294,IL,,62864,38.317936,-88.9049835
B001295,02243,412629,B001295-o_fallon,302 West State St.,,O'Fallon,618-622-0774,,618-622-0766,IL,,62269,38.5925108,-89.9141608
B001296,02267,412652,B001296-glenside,115 E. Glenside Ave.,,Glenside,215-277-7225,8:30am-4:30pm M-F,215-517-6572,PA,Suite 1,19038,40.100299,-75.151156
B001296,02267,412652,B001296-lansdale,1 Vine St.,,Lansdale,,Monday 9:30am-4:30pm or by appointment,,PA,,19446,40.2407837,-75.2873714
B001296,02267,412652,B001296-norristown,101 E. Main St.,,Norristown,610-270-8084,"8:30am-4:30pm, M-F",610-270-8081,PA,Suite A,19401,40.113802,-75.3421376
B001296,02267,412652,B001296-philadelphia,5675 N. Front St.,One & Olney Shopping Center,Philadelphia,267-437-3886,"8:30am-4:30pm, M-F",267-335-5643,PA,Suite 180,19120,40.0381812,-75.1172342
B001296,02267,412652,B001296-philadelphia-1,8572 Bustleton Ave.,,Philadelphia,215-856-3734,"8:30am-4:30pm, M-F",215-335-3355,PA,,19152,40.0730543,-75.049904
B001297,02233,412619,B001297-castle_rock,900 Castleton Rd.,,Castle Rock,,,720-639-9165,CO,Suite 112,80109,39.4092665,-104.8684125
B001297,02233,412619,B001297-greeley,1023 39th Ave.,,Greeley,970-702-2951,,970-702-2136,CO,Unit B,80634,40.4205693,-104.7446355
B001298,,412713,B001298-omaha,13906 Gold Circle,,Omaha,,,402-938-0300,NE,Suite 101,68144,41.23509809999999,-96.1296555
B001299,,412702,B001299-fort_wayne,1300 S. Harrison St.,,Fort Wayne,,,260-702-4750,IN,,46802,41.0737372,-85.14045349999999
B001300,,412687,B001300-carson,701 E. Carson St.,Carson City Hall,Carson,,"Wednesday and Thursday, 9:00 a.m. - 5:00 p.m. Please call for an appointment",310-831-1799,CA,,90745,33.8322643,-118.2630272
B001300,,412687,B001300-compton,205 S. Willowbrook Ave.,Compton City Hall,Compton,,Tuesday 9:00 a.m. - 5:00 p.m. Please call for an appointment,310-831-1799,CA,,90220,33.8946744,-118.226945
B001300,,412687,B001300-san_pedro,302 W. Fifth St.,,San Pedro,,M-F 9:00 a.m. - 5:00 p.m. Please call for an appointment,310-831-1799,CA,Suite 201,90731,33.7398775,-118.2839378
B001300,,412687,B001300-south_gate,8650 California Ave.,South Gate City Hall,South Gate,,"Tuesday and Thursday, 9:00 a.m. - 5:00 p.m.  Please call for an appointment",310-831-1799,CA,,90280,33.9556898,-118.2051037
B001302,,412683,B001302-mesa,2509 S. Power Rd.,,Mesa,,,480-699-8239,AZ,Suite 204,85209,33.3712904,-111.6870648
B001303,,412689,B001303-wilmington,1105 N. Market St.,,Wilmington,,,302-830-2330,DE,Suite 400,19801,39.7473432,-75.5471367
B001303,,412689,B001303-georgetown,28 The Circle,,Georgetown,,,302-858-4773,DE,Suite 2,19947,38.6903978,-75.3887458
B001304,,412707,B001304-annapolis,2666 Riva Rd,,Annapolis,,"Tuesday and Thursday, 9 a.m. - 1 p.m., or by appointment",410-266-3249,MD,Suite 120,21401,38.9746861,-76.5612782
B001304,,412707,B001304-largo,9701 Apollo Dr.,,Largo,,,301-458-2600,MD,Suite 103,20774,38.9044794,-76.8406561
B001305,,412712,B001305-advance,128 Peachtree Ln.,,Advance,,,336-998-1313,NC,Suite A,27006,36.0038879,-80.4394348
B001305,,412712,B001305-high_point,4000 Piedmont Pkwy,,High Point,,,336-858-5013,NC,Suite 131,27265,36.0515139,-79.9611368
C000059,00165,400057,C000059-corona,400 S. Vicentia Ave.,,Corona,951-277-0420,,951-277-0042,CA,Suite 125,92882,33.8784386,-117.5759232
C000127,00172,300018,C000127-everett,2930 Wetmore Ave.,,Everett,425-303-8351,,425-303-0114,WA,Suite 9B,98201,47.9781562,-122.2076204
C000127,00172,300018,C000127-richland,825 Jadwin Ave.,,Richland,509-946-6937,,509-946-8106,WA,Suite 206,99352,46.2775762,-119.2760977
C000127,00172,300018,C000127-seattle,915 Second Ave.,,Seattle,206-220-6404,,206-220-6400,WA,Suite 3206,98174,47.6045895,-122.3354608
C000127,00172,300018,C000127-spokane,920 W. Riverside Ave.,,Spokane,509-353-2547,,509-353-2507,WA,Suite 697,99201,47.6585992,-117.4260094
C000127,00172,300018,C000127-tacoma,950 Pacific Ave.,,Tacoma,253-572-5879,,253-572-2281,WA,Suite 615,98402,47.2535757,-122.4390697
C000127,00172,300018,C000127-vancouver,1313 Officers Row,,Vancouver,360-696-7844,,360-696-7838,WA,,98661,45.628864,-122.6641029
C000141,00174,400064,C000141-baltimore,100 S. Charles St.,Tower 1,Baltimore,410-962-4156,,410-962-4436,MD,Suite 1710,21201,39.2871649,-76.6156372
C000141,00174,400064,C000141-bowie,10201 Martin Luther King Jr. Highway,,Bowie,301-860-0416,Monday - Friday: 9:00 AM - 5:00 PM,301-860-0414,MD,Suite 210,20720,38.9550571,-76.82809809999999
C000141,00174,400064,C000141-cumberland,13 Canal St.,,Cumberland,301-777-2959,,301-777-2957,MD,Room 305,21502,39.6495579,-78.76360249999999
C000141,00174,400064,C000141-rockville,451 Hungerford Dr.,,Rockville,301-762-2976,,301-762-2974,MD,Suite 230,20850,39.0895234,-77.1511348
C000141,00174,400064,C000141-salisbury,212 W. Main St.,Plaza Gallery Building,Salisbury,202-224-1651,,410-546-4250,MD,Suite 301C,21801,38.3652837,-75.6023764
C000174,00179,300019,C000174-dover,500 W. Loockerman St.,,Dover,302-674-5464,M-F 8:30 a.m. to 5:30 p.m.,302-674-3308,DE,Suite 470,19904,39.15666239999999,-75.5311574
C000174,00179,300019,C000174-georgetown,12 The Circle,,Georgetown,302-856-3001,M-F 8:30 a.m. to 5:30 p.m.,302-856-7690,DE,,19947,38.6902745,-75.3852914
C000174,00179,300019,C000174-wilmington,301 N. Walnut St.,,Wilmington,302-573-6434,M-F 8:30 a.m. to 5:30 p.m.,302-573-6291,DE,Suite 102L-1,19801-3974,39.739183,-75.5492666
C000266,00186,400071,C000266-cincinnati,441 Vine St.,,Cincinnati,513-421-8722,9 a.m. - 5 p.m.,513-684-2723,OH,Rm. 3003,45202,39.100836,-84.513238
C000266,00186,400071,C000266-lebanon,11 S. Broadway,,Lebanon,513-421-8722,9am-5pm,513-421-8704,OH,,45036,39.4341674,-84.2086104
C000537,00208,400075,C000537-columbia,1225 Lady St.,,Columbia,803-799-9060,Mon-Fri 9am-5pm,803-799-1100,SC,Suite 200,29201,34.0032484,-81.03302830000001
C000537,00208,400075,C000537-kingstree,130 W. Main St.,,Kingstree,843-355-1232,Monday-Friday 9:00AM-5:00PM,843-355-1211,SC,,29556,33.6637604,-79.8313355
C000537,00208,400075,C000537-santee,176 Brooks Blvd.,,Santee,803-854-4900,Mon-Fri 9:00AM-5:00PM,803-854-4700,SC,,29142,33.4737478,-80.4819747
C000754,00231,400081,C000754-nashville,605 Church St.,,Nashville,615-736-7479,M-F 8am - 5pm,615-736-5295,TN,,37219,36.1623269,-86.7817797
C000880,00250,300030,C000880-boise,251 E. Front St.,Suite 205,Boise,208-334-9044,,208-334-1776,ID,,83702,43.6086015,-116.1956172
C000880,00250,300030,C000880-coeur_d_alene,610 Hubbard Ave,,Coeur d'Alene,208-664-0889,,208-664-5490,ID,Suite 209,83814,47.6826921,-116.7920799
C000880,00250,300030,C000880-idaho_falls,410 Memorial Dr.,,Idaho Falls,208-529-8367,,208-522-9779,ID,Suite 204,83402,43.4936265,-112.0425928
C000880,00250,300030,C000880-lewiston,313 'D' St.,,Lewiston,208-743-6484,,208-743-1492,ID,Suite 105,83501,46.422158,-117.028638
C000880,00250,300030,C000880-pocatello,275 S. 5th Ave.,,Pocatello,208-236-6935,,208-236-6775,ID,Suite 100,83201,42.8649373,-112.4428822
C000880,00250,300030,C000880-twin_falls,202 Falls Ave.,,Twin Falls,208-733-0414,,208-734-2515,ID,Suite 2,83301,42.5776169,-114.47751
C000984,00256,400090,C000984-baltimore,1010 Park Ave.,,Baltimore,410-685-9399,M-F 8AM-5PM EST,410-685-9199,MD,Suite 105,21201,39.3030641,-76.6191075
C000984,00256,400090,C000984-catonsville,754 Frederick Rd.,,Catonsville,410-455-0110,Mon-Fri 8AM-5PM EST,410-719-8777,MD,,21228,39.2717668,-76.73274339999999
C000984,00256,400090,C000984-ellicott_city,8267 Main St.,,Ellicott City,410-465-8740,M-F 8:30AM to 5PM,410-465-8259,MD,Room 102,21043,39.2675157,-76.7991703
C001035,01541,300025,C001035-augusta,68 Sewall St.,,Augusta,,,207-622-8414,ME,Room 507,04330,44.310824,-69.783697
C001035,01541,300025,C001035-bangor,202 Harlow St.,,Bangor,,,207-945-0417,ME,Room 20100,04401,44.8046399,-68.7737891
C001035,01541,300025,C001035-biddeford,160 Main St.,,Biddeford,,,207-283-1101,ME,,04005,43.493177,-70.4548329
C001035,01541,300025,C001035-caribou,25 Sweden St.,,Caribou,,,207-493-7873,ME,Suite A,04736,46.860458,-68.013198
C001035,01541,300025,C001035-lewiston,55 Lisbon St.,,Lewiston,,,207-784-6969,ME,,04240,44.097439,-70.217972
C001035,01541,300025,C001035-portland,One Canal Plaza,,Portland,,,207-780-3575,ME,Suite 802,04101,43.6566885,-70.2551294
C001047,01676,400061,C001047-beckley,220 N. Kanawha St.,,Beckley,,Appointments are required at this location.,304-347-5372,WV,Suite 1,25801,37.779625,-81.188172
C001047,01676,400061,C001047-charleston,500 Virgina Street East,,Charleston,,,304-347-5372,WV,Suite 950,25301,38.3511449,-81.6380602
C001047,01676,400061,C001047-martinsburg,300 Foxcroft Ave.,,Martinsburg,,,304-262-9285,WV,Suite 202A,25401,39.4607489,-77.986887
C001047,01676,400061,C001047-morgantown,48 Donley St.,,Morgantown,,,304-292-2310,WV,Suite 504,26501,39.6256581,-79.96312549999999
C001049,01654,400074,C001049-florissant,1281 Graham Rd.,,Florissant,314-383-8020,,314-383-5240,MO,Suite 202,63031,38.7764554,-90.33554869999999
