last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,899978622416695297,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,,G000555,01866,N00027658,S331,"H6NY20167,S0NY00410",1022862,412223,65147,Kirsten Gillibrand,,20735,Kirsten Gillibrand
Coons,Christopher,Andrew,,,Christopher A. Coons,1963-09-09,M,sen,DE,,2,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,15324851,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,,C001088,01984,N00031820,S337,S0DE00092,9269028,412390,122834,Chris Coons,,40916,Chris Coons
Aderholt,Robert,B.,,,Robert B. Aderholt,1965-07-22,M,rep,AL,4,,Republican,https://aderholt.house.gov,272 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,76452765,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,,A000055,01460,N00003028,,H6AL04098,45516,400004,441,Robert B. Aderholt,,29701,Robert Aderholt
Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,sen,WI,,1,Democrat,https://www.baldwin.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,1074518754,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,,B001230,01558,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin
Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,sen,CO,,3,Democrat,https://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,224285242,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,,B001267,01965,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet
Bilirakis,Gus,M.,,,Gus M. Bilirakis,1963-02-08,M,rep,FL,12,,Republican,https://bilirakis.house.gov,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,26051676,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,,B001257,01838,N00027462,,H6FL09070,1022873,412250,17318,Gus M. Bilirakis,,20758,Gus Bilirakis
Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,2,,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,249410485,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,,B000490,00091,N00002674,,H2GA02031,26194,400030,26817,Sanford Bishop Jr.,,29339,Sanford Bishop
Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,sen,TN,,1,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,278145569,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,,B001243,01748,N00003105,S396,"H2TN06030,S8TN00337",31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn
Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,sen,CT,,3,Democrat,https://www.blumenthal.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,278124059,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,,B001277,02076,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal
Boozman,John,,,,John Boozman,1950-12-10,M,sen,AR,,3,Republican,https://www.boozman.senate.gov/public,555 Dirksen Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,5558312,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,,B001236,01687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,,20101,John Boozman
Buchanan,Vern,,,,Vern Buchanan,1951-05-08,M,rep,FL,16,,Republican,https://buchanan.house.gov,2409 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,20467163,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,,B001260,01840,N00027626,,H6FL13148,1021626,412196,66247,Vern Buchanan,,20709,Vern Buchanan
Calvert,Ken,S.,,,Ken Calvert,1953-06-08,M,rep,CA,41,,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,22545491,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,,C000059,00165,N00007099,,H2CA37023,26709,400057,26777,Ken Calvert,,29323,Ken Calvert
Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,sen,WV,,2,Republican,https://www.capito.senate.gov,170 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,193794406,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,,C001047,01676,N00009771,S372,"H0WV02138,S4WV00159",83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito
Carson,André,,,,André Carson,1974-10-16,M,rep,IN,7,,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,199325935,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,,C001072,01889,N00029513,,H8IN07184,1027364,412258,84917,Andre Carson,,20757,André Carson
Carter,John,R.,,,John R. Carter,1941-11-06,M,rep,TX,31,,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,18030431,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,,C001051,01752,N00025095,,H2TX31044,1004257,400068,49296,John Carter,,20356,John Carter (Texas politician)
Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,sen,LA,,2,Republican,https://www.cassidy.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,SenBillCassidy,1017500185356853248,SenBillCassidy,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,,C001075,01925,N00030245,S373,"H8LA00017,S4LA00107",1030546,412269,69494,Bill Cassidy,,20919,Bill Cassidy
Castor,Kathy,,,,Kathy Castor,1966-08-20,F,rep,FL,14,,Democrat,https://castor.house.gov,2188 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,,http://castor.house.gov/news/rss.aspx,USRepKCastor,1880674038,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,,C001066,01839,N00027514,,"H6FL11126,H6FL11134",1022874,412195,53825,Kathy Castor,,20708,Kathy Castor
Chu,Judy,M.,,,Judy Chu,1953-07-07,F,rep,CA,28,,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,,http://chu.house.gov/rss.xml,RepJudyChu,193732179,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,,C001080,01970,N00030600,,H0CA32101,92573,412379,16539,Judy Chu,,20955,Judy Chu
Clarke,Yvette,D.,,,Yvette D. Clarke,1964-11-21,F,rep,NY,9,,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,,http://clarke.house.gov/news/rss.aspx,RepYvetteClarke,240812994,repyvettedclarke,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,,C001067,01864,N00026961,,H4NY11138,1022875,412221,44741,Yvette D. Clarke,,20733,Yvette Clarke
Cleaver,Emanuel,,II,,Emanuel Cleaver,1944-10-26,M,rep,MO,5,,Democrat,https://cleaver.house.gov,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,,http://cleaver.house.gov/rss.xml,RepCleaver,163570705,emanuelcleaverii,repcleaver,UCVC-7CLFjXczoihr5FxDLsw,,C001061,01790,N00026790,,H4MO05234,10933,400639,39507,Emanuel Cleaver,,20517,Emanuel Cleaver
Clyburn,James,E.,,Jim,James E. Clyburn,1940-07-21,M,rep,SC,6,,Democrat,https://clyburn.house.gov,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,,http://clyburn.house.gov/rss.xml,RepJamesClyburn,188019606,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg,,C000537,00208,N00002408,,H2SC02042,21607,400075,27066,James E. Clyburn,,39301,Jim Clyburn
Cohen,Steve,,,,Steve Cohen,1949-05-24,M,rep,TN,9,,Democrat,https://cohen.house.gov,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,,http://cohen.house.gov/rss.xml,RepCohen,162069635,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA,,C001068,01878,N00003225,,H6TN09068,1022876,412236,24340,Steve Cohen,,20748,Steve Cohen (politician)
Cole,Tom,,,,Tom Cole,1949-04-28,M,rep,OK,4,,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,,http://cole.house.gov/rss.xml,TomColeOK04,23124635,TomColeOK04,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ,,C001053,01742,N00025726,,H2OK04055,1003609,400077,46034,Tom Cole,,20344,Tom Cole
Connolly,Gerald,E.,,,Gerald E. Connolly,1950-03-30,M,rep,VA,11,,Democrat,https://connolly.house.gov,2265 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,,http://connolly.house.gov/common/rss//index.cfm?rss=44,GerryConnolly,78445977,CongressmanGerryConnolly,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA,,C001078,01959,N00029891,,H8VA11062,1015936,412272,95078,Gerald Connolly,,20952,Gerry Connolly
Costa,Jim,,,,Jim Costa,1952-04-13,M,rep,CA,21,,Democrat,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341,,http://costa.house.gov/index.php?format=feed&amp;type=rss,RepJimCosta,245451804,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,,C001059,01774,N00026341,,H4CA20082,19599,400618,3577,Jim Costa,,20501,Jim Costa
Courtney,Joe,,,,Joe Courtney,1953-04-06,M,rep,CT,2,,Democrat,https://courtney.house.gov,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,,http://courtney.house.gov/index.php?format=feed&amp;type=rss,RepJoeCourtney,85396297,joecourtney,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,,C001069,01836,N00024842,,H2CT02112,1021284,412193,30333,Joe Courtney,,20706,Joe Courtney (politician)
Crapo,Michael,D.,,Mike,Mike Crapo,1951-05-20,M,sen,ID,,3,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,,MikeCrapo,600463589,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,,C000880,00250,N00006267,S266,"S8ID00027,H2ID02034",26440,300030,26830,Mike Crapo,,29345,Mike Crapo
Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,AR,1,,Republican,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,,http://crawford.house.gov/news/rss.aspx,RepRickCrawford,233693291,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,,C001087,01989,N00030770,,H0AR01083,623259,412400,119208,Rick Crawford,,21106,Rick Crawford (politician)
Cuellar,Henry,,,,Henry Cuellar,1955-09-19,M,rep,TX,28,,Democrat,https://cuellar.house.gov,2308 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,,http://cuellar.house.gov/news/rss.aspx,RepCuellar,210926192,152569121550,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ,,C001063,01807,N00024978,,H2TX23082,1013062,400657,5486,Henry Cuellar,,20533,Henry Cuellar
Davis,Danny,K.,,,Danny K. Davis,1941-09-06,M,rep,IL,7,,Democrat,https://davis.house.gov,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,,http://davis.house.gov/index.php?format=feed&type=rss,RepDannyDavis,789244177,CongressmanDKDavis,dannykdavis07,UCdhrT09_XMr31tuI8OcKsjQ,,D000096,01477,N00004884,,H4IL07037,44325,400093,233,Danny K. Davis,,29717,Danny Davis (Illinois politician)
DeGette,Diana,L.,,,Diana DeGette,1957-07-29,F,rep,CO,1,,Democrat,https://degette.house.gov,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,,http://degette.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,RepDianaDeGette,28599820,DianaDeGette,RepDianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,,D000197,01479,N00006134,,H6CO01141,90293,400101,561,Diana DeGette,,29710,Diana DeGette
DeLauro,Rosa,L.,,,Rosa L. DeLauro,1943-03-02,F,rep,CT,3,,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,,http://delauro.house.gov/index.php?format=feed&amp;type=rss,RosaDeLauro,140519774,CongresswomanRosaDeLauro,rosadelauro,UC9ROfGBm7kSLCEDYwFF6McQ,,D000216,00281,N00000615,,H0CT03072,19040,400103,26788,Rosa DeLauro,,29109,Rosa DeLauro
DesJarlais,Scott,,,,Scott DesJarlais,1964-02-21,M,rep,TN,4,,Republican,https://desjarlais.house.gov,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,,http://desjarlais.house.gov/news/rss.aspx,DesJarlaisTN04,235312723,ScottDesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,,D000616,02062,N00030957,,H0TN04195,623517,412477,123473,Scott DesJarlais,,21179,Scott DesJarlais
Diaz-Balart,Mario,,,,Mario Diaz-Balart,1961-09-25,M,rep,FL,26,,Republican,https://mariodiazbalart.house.gov,374 Cannon House Office Building Washington DC 20515-0926,202-225-4211,,http://mariodiazbalart.house.gov/rss.xml,MarioDB,37094727,mdiazbalart,MarioDiazBalart,UCpEEd0Plxx5D78pI4a4mFTQ,,D000600,01717,N00025337,,H2FL25018,1003562,400108,24312,Mario Diaz-Balart,,20316,Mario Díaz-Balart
Doggett,Lloyd,A.,,,Lloyd Doggett,1946-10-06,M,rep,TX,37,,Democrat,https://doggett.house.gov,2307 Rayburn House Office Building Washington DC 20515-0001,202-225-4865,,http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw,RepLloydDoggett,153944899,lloyddoggett,doggett,UCN-kiLKyHPcfRVZ28sAHS_g,,D000399,00303,N00006023,,H4TX10028,36810,400111,21689,Lloyd Doggett,,29571,Lloyd Doggett
Fleischmann,Charles,J.,,Chuck,"Charles J. ""Chuck"" Fleischmann",1962-10-11,M,rep,TN,3,,Republican,https://fleischmann.house.gov,2187 Rayburn House Office Building Washington DC 20515-4203,202-225-3271,,http://fleischmann.house.gov/rss.xml,RepChuck,235190657,repchuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw,,F000459,02061,N00030815,,H0TN03254,95146,412476,123456,Charles Fleischmann,,21178,Chuck Fleischmann
Foxx,Virginia,,,,Virginia Foxx,1943-06-29,F,rep,NC,5,,Republican,https://foxx.house.gov,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071,,http://foxx.house.gov/common/rss/?rss=55,VirginiaFoxx,16256269,RepVirginiaFoxx,repvirginiafoxx,UCggineJcxJn80TRXxdQbx6w,,F000450,01791,N00026166,,H4NC05146,1013052,400643,6051,Virginia Foxx,,20521,Virginia Foxx
Garamendi,John,,,,John Garamendi,1945-01-24,M,rep,CA,8,,Democrat,https://garamendi.house.gov,2428 Rayburn House Office Building Washington DC 20515-0508,202-225-1880,,http://garamendi.house.gov/rss.xml,RepGaramendi,88806753,repgaramendi,garamendiCA10,UCRym1qsO72C39gX6pBu4icg,,G000559,01973,N00030856,,H0CA10149,18413,412382,29664,John Garamendi,,20958,John Garamendi
Gosar,Paul,A.,,,Paul A. Gosar,1958-11-22,M,rep,AZ,9,,Republican,https://gosar.house.gov,2057 Rayburn House Office Building Washington DC 20515-0309,202-225-2315,,http://gosar.house.gov/rss.xml,RepGosar,240760644,repgosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,,G000565,01992,N00030771,,H0AZ01259,62470,412397,123491,Paul Gosar,,21103,Paul Gosar
Grassley,Charles,E.,,Chuck,Chuck Grassley,1933-09-17,M,sen,IA,,3,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,https://www.grassley.senate.gov/contact,http://grassley.senate.gov/customcf/rss_feed.cfm,ChuckGrassley,10615232,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,,G000386,00457,N00001758,S153,S0IA00028,1167,300048,53293,Chuck Grassley,,14226,Chuck Grassley
Graves,Sam,B.,,,Sam Graves,1963-11-07,M,rep,MO,6,,Republican,https://graves.house.gov,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041,,http://graves.house.gov/common/rss/index.cfm?rss=25,RepSamGraves,29766367,118514606128,,UCdg2ybvoHsSW6t7iJnKHlNg,,G000546,01656,N00013323,,H0MO06073,89873,400158,9425,Sam Graves,,20124,Sam Graves
Green,Al,,,,Al Green,1947-09-01,M,rep,TX,9,,Democrat,https://algreen.house.gov,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508,,http://algreen.house.gov/rss.xml,RepAlGreen,156333623,repalgreen,RepAlGreen,UCFtgMZm1YUXaZ8OtOj-GDjA,,G000553,01803,N00026686,,H4TX09095,1012969,400653,49680,Al Green,,20529,Al Green (politician)
Griffith,H.,Morgan,,,H. Morgan Griffith,1958-03-15,M,rep,VA,9,,Republican,https://morgangriffith.house.gov,2110 Rayburn House Office Building Washington DC 20515-4609,202-225-3861,,http://morgangriffith.house.gov/news/rss.aspx,RepMGriffith,234057152,RepMorganGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA,,G000568,02070,N00032029,,H0VA09055,62766,412485,5148,Morgan Griffith,,21191,Morgan Griffith
