Race,Bioguide ID,Name,New Member?,Party (D/R/I),Caucus If Independent,First Name,Middle Name,Last Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikipedia URL
AZ02,C001132,Elijah Crane,,R,R,Elijah,,Crane,,M,,,
AZ03,A000381,Yassamin Ansari,NEW,D,,Yassamin,,Ansari,,F,1992-04-07,H4AZ03109,https://en.wikipedia.org/wiki/Yassamin_Ansari
AZ04,S001211,Greg Stanton,,D,D,Greg,,Stanton,,M,,,
AZ05,B001302,Andy Biggs,,R,R,Andy,,Biggs,,M,,,
AZ06,C001133,Juan Ciscomani,,R,R,Juan,,Ciscomani,,M,,,
AZ07,G000551,Raúl Grijalva,,D,D,Raúl,M.,Grijalva,,M,,,
AZ08,H001098,Abraham Hamadeh,NEW,R,,Abraham,Jamal,Hamadeh,,M,1991-05-15,H4AZ08108,https://en.wikipedia.org/wiki/Abraham_Hamadeh
AZ09,G000565,Paul Gosar,,R,R,Paul,A.,Gosar,,M,,,
CA01,L000578,Doug LaMalfa,,R,R,Doug,,LaMalfa,,M,,,
CA02,H001068,Jared Huffman,,D,D,Jared,,Huffman,,M,,,
CA03,K000401,Kevin Kiley,,R,R,Kevin,,Kiley,,M,,,
CA04,T000460,Mike Thompson,,D,D,Mike,,Thompson,,M,,,
CA05,M001177,Tom McClintock,,R,R,Tom,,McClintock,,M,,,
CA06,B001287,Ami Bera,,D,D,Ami,,Bera,,M,,,
CA07,M001163,Doris Matsui,,D,D,Doris,O.,Matsui,,F,,,
CA08,G000559,John Garamendi,,D,D,John,,Garamendi,,M,,,
CA09,H001090,Josh Harder,,D,D,Josh,,Harder,,M,,,
CA10,D000623,Mark DeSaulnier,,D,D,Mark,,DeSaulnier,,M,,,
CA11,P000197,Nancy Pelosi,,D,D,Nancy,,Pelosi,,F,,,
CA12,S001231,Lateefah Simon,NEW,D,,Lateefah,Aaliyah,Simon,,F,1977-01-29,H4CA12154,https://en.wikipedia.org/wiki/Lateefah_Simon
CA13,G000605,Adam Gray,NEW,D,,Adam,Channing,Gray,,M,1977-09-23,H2CA13115,https://en.wikipedia.org/wiki/Adam_Gray
CA14,S001193,Eric Swalwell,,D,D,Eric,,Swalwell,,M,,,
CA15,M001225,Kevin Mullin,,D,D,Kevin,,Mullin,,M,,,
CA16,L000607,Sam Liccardo,NEW,D,,Sam,Theodore,Liccardo,,M,1970-04-16,H4CA16197,https://en.wikipedia.org/wiki/Sam_Liccardo
CA17,K000389,Ro Khanna,,D,D,Ro,,Khanna,,M,,,
CA18,L000397,Zoe Lofgren,,D,D,Zoe,,Lofgren,,F,,,
CA19,P000613,Jimmy Panetta,,D,D,Jimmy,,Panetta,,M,,,
CA20,F000480,Vince Fong,,R,R,Vince,,Fong,,M,,,
CA21,C001059,Jim Costa,,D,D,Jim,,Costa,,M,,,
CA22,V000129,David Valadao,,R,R,David,G.,Valadao,,M,,,
CA23,O000019,Jay Obernolte,,R,R,Jay,,Obernolte,,M,,,
CA24,C001112,Salud Carbajal,,D,D,Salud,O.,Carbajal,,M,,,
CA25,R000599,Raul Ruiz,,D,D,Raul,,Ruiz,,M,,,
CA26,B001285,Julia Brownley,,D,D,Julia,,Brownley,,F,,,
CA27,W000830,George Whitesides,NEW,D,,George,Thomas,Whitesides,,M,1974-03-03,H4CA27111,https://en.wikipedia.org/wiki/George_T._Whitesides
CA28,C001080,Judy Chu,,D,D,Judy,,Chu,,F,,,
CA29,R000620,Luz Rivas,NEW,D,,Luz,Maria,Rivas,,F,1974-02-06,H4CA29141,https://en.wikipedia.org/wiki/Luz_Rivas
CA30,F000483,Laura Friedman,NEW,D,,Laura,Syril,Friedman,,F,1966-12-03,H4CA30149,https://en.wikipedia.org/wiki/Laura_Friedman
CA31,C001123,Gilbert Cisneros,,D,D,Gilbert,Ray,Cisneros,Jr.,M,,,
CA32,S000344,Brad Sherman,,D,D,Brad,,Sherman,,M,,,
CA33,A000371,Pete Aguilar,,D,D,Pete,,Aguilar,,M,,,
CA34,G000585,Jimmy Gomez,,D,D,Jimmy,,Gomez,,M,,,
CA35,T000474,Norma Torres,,D,D,Norma,J.,Torres,,F,,,
CA36,L000582,Ted Lieu,,D,D,Ted,,Lieu,,M,,,
CA37,K000400,Sydney Kamlager-Dove,,D,D,Sydney,,Kamlager-Dove,,F,,,
CA38,S001156,Linda Sánchez,,D,D,Linda,T.,Sánchez,,F,,,
CA39,T000472,Mark Takano,,D,D,Mark,,Takano,,M,,,
CA40,K000397,Young Kim,,R,R,Young,,Kim,,F,,,
CA41,C000059,Ken Calvert,,R,R,Ken,,Calvert,,M,,,
CA42,G000598,Robert Garcia,,D,D,Robert,,Garcia,,M,,,
CA43,W000187,Maxine Waters,,D,D,Maxine,,Waters,,F,,,
CA44,B001300,Nanette Barragán,,D,D,Nanette,Diaz,Barragán,,F,,,
CA45,T000491,Derek Tran,NEW,D,,Derek,Truyen,Tran,,M,1980-12-22,H4CA45170,https://en.wikipedia.org/wiki/Derek_Tran
CA46,C001110,J. Correa,,D,D,J.,Luis,Correa,,M,,,
CA47,M001241,Dave Min,NEW,D,,Dave,Kunnghee,Min,,F,1976-03-05,H4CA47085,https://en.wikipedia.org/wiki/Dave_Min
CA48,I000056,Darrell Issa,,R,R,Darrell,,Issa,,M,,,
CA49,L000593,Mike Levin,,D,D,Mike,,Levin,,M,,,
CA50,P000608,Scott Peters,,D,D,Scott,H.,Peters,,M,,,
CA51,J000305,Sara Jacobs,,D,D,Sara,,Jacobs,,F,,,
CA52,V000130,Juan Vargas,,D,D,Juan,,Vargas,,M,,,
CO01,D000197,Diana DeGette,,D,D,Diana,,DeGette,,F,,,
CO02,N000191,Joe Neguse,,D,D,Joe,,Neguse,,M,,,
CO03,H001100,Jeff Hurd,NEW,R,,Jeff,Stephen,Hurd,,M,1979-08-15,H4CO03357,https://en.wikipedia.org/wiki/Jeff_Hurd_(politician)
CO04,B000825,Lauren Boebert,,R,R,Lauren,,Boebert,,F,,,
CO05,C001137,Jeff Crank,NEW,R,,Jeff,George,Crank,,M,1967-01-28,H6CO05142,https://en.wikipedia.org/wiki/Jeff_Crank
CO06,C001121,Jason Crow,,D,D,Jason,,Crow,,M,,,
CO07,P000620,Brittany Pettersen,,D,D,Brittany,,Pettersen,,F,,,
CO08,E000300,Gabe Evans,NEW,R,,Gabe,,Evans,,M,1986-07-28,H4CO08034,https://en.wikipedia.org/wiki/Gabe_Evans
CT01,L000557,John Larson,,D,D,John,B.,Larson,,M,,,
CT02,C001069,Joe Courtney,,D,D,Joe,,Courtney,,M,,,
CT03,D000216,Rosa DeLauro,,D,D,Rosa,L.,DeLauro,,F,,,
CT04,H001047,James Himes,,D,D,James,A.,Himes,,M,,,
CT05,H001081,Jahana Hayes,,D,D,Jahana,,Hayes,,F,,,
DC00,N000147,Eleanor Norton,,D,D,Eleanor,Holmes,Norton,,F,,,
DE00,M001238,Sarah McBride,NEW,D,,Sarah,Elizabeth,McBride,,F,1990-08-09,H4DE00045,https://en.wikipedia.org/wiki/Sarah_McBride
FL02,D000628,Neal Dunn,,R,R,Neal,P.,Dunn,,M,,,
FL03,C001039,Kat Cammack,,R,R,Kat,,Cammack,,F,,,
FL04,B001314,Aaron Bean,,R,R,Aaron,,Bean,,M,,,
FL05,R000609,John Rutherford,,R,R,John,H.,Rutherford,,M,,,
FL06,W000823,Michael Waltz,,R,R,Michael,,Waltz,,M,,,
FL07,M001216,Cory Mills,,R,R,Cory,,Mills,,M,,,
FL08,H001099,Mike Haridopolos,NEW,R,,Mike,John,Haridopolos,,M,1970-03-15,H4FL08168,https://en.wikipedia.org/wiki/Mike_Haridopolos
FL09,S001200,Darren Soto,,D,D,Darren,,Soto,,M,,,
FL10,F000476,Maxwell Frost,,D,D,Maxwell,,Frost,,M,,,
FL11,W000806,Daniel Webster,,R,R,Daniel,,Webster,,M,,,
FL12,B001257,Gus Bilirakis,,R,R,Gus,M.,Bilirakis,,M,,,
FL13,L000596,Anna Paulina Luna,,R,R,Anna Paulina,,Luna,,F,,,
FL14,C001066,Kathy Castor,,D,D,Kathy,,Castor,,F,,,
FL15,L000597,Laurel Lee,,R,R,Laurel,M.,Lee,,F,,,
FL16,B001260,Vern Buchanan,,R,R,Vern,,Buchanan,,M,,,
FL17,S001214,W. Steube,,R,R,W.,Gregory,Steube,,M,,,
FL18,F000472,Scott Franklin,,R,R,Scott,,Franklin,,M,,,
FL19,D000032,Byron Donalds,,R,R,Byron,,Donalds,,M,,,
FL20,C001127,Sheila Cherfilus-McCormick,,D,D,Sheila,,Cherfilus-McCormick,,F,,,
FL21,M001199,Brian Mast,,R,R,Brian,J.,Mast,,M,,,
FL22,F000462,Lois Frankel,,D,D,Lois,,Frankel,,F,,,
FL23,M001217,Jared Moskowitz,,D,D,Jared,,Moskowitz,,M,,,
FL24,W000808,Frederica Wilson,,D,D,Frederica,S.,Wilson,,F,,,
FL25,W000797,Debbie Wasserman Schultz,,D,D,Debbie,,Wasserman Schultz,,F,,,
FL26,D000600,Mario Diaz-Balart,,R,R,Mario,,Diaz-Balart,,M,,,
FL27,S000168,Maria Salazar,,R,R,Maria,Elvira,Salazar,,F,,,
FL28,G000593,Carlos Gimenez,,R,R,Carlos,A.,Gimenez,,M,,,
GA01,C001103,Earl Carter,,R,R,Earl,"L. ""Buddy""",Carter,,M,,,
GA02,B000490,Sanford Bishop,,D,D,Sanford,D.,Bishop,Jr.,M,,,
GA03,J000311,Brian Jack,NEW,R,,Brian,Timothy,Jack,,M,1988-02-17,H4GA03126,https://en.wikipedia.org/wiki/Brian_Jack
GA04,J000288,Henry Johnson,,D,D,Henry,"C. ""Hank""",Johnson,Jr.,M,,,
GA05,W000788,Nikema Williams,,D,D,Nikema,,Williams,,F,,,
GA06,M001208,Lucy McBath,,D,D,Lucy,,McBath,,F,,,
GA07,M001218,Richard McCormick,,R,R,Richard,,McCormick,,M,,,
GA08,S001189,Austin Scott,,R,R,Austin,,Scott,,M,,,
GA09,C001116,Andrew Clyde,,R,R,Andrew,S.,Clyde,,M,,,
GA10,C001129,Mike Collins,,R,R,Mike,,Collins,,M,,,
GA11,L000583,Barry Loudermilk,,R,R,Barry,,Loudermilk,,M,,,
GA12,A000372,Rick Allen,,R,R,Rick,W.,Allen,,M,,,
GA13,S001157,David Scott,,D,D,David,,Scott,,M,,,
GA14,G000596,Marjorie Greene,,R,R,Marjorie,Taylor,Greene,,F,,,
GU00,M001219,James Moylan,,R,R,James,C.,Moylan,,M,,,
HI01,C001055,Ed Case,,D,D,Ed,,Case,,M,,,
HI02,T000487,Jill Tokuda,,D,D,Jill,N.,Tokuda,,F,,,
IA01,M001215,Mariannette Miller-Meeks,,R,R,Mariannette,,Miller-Meeks,,F,,,
IA02,H001091,Ashley Hinson,,R,R,Ashley,,Hinson,,F,,,
IA03,N000193,Zachary Nunn,,R,R,Zachary,,Nunn,,M,,,
IA04,F000446,Randy Feenstra,,R,R,Randy,,Feenstra,,M,,,
ID01,F000469,Russ Fulcher,,R,R,Russ,,Fulcher,,M,,,
ID02,S001148,Michael Simpson,,R,R,Michael,K.,Simpson,,M,,,
IL01,J000309,Jonathan Jackson,,D,D,Jonathan,L.,Jackson,,M,,,
IL02,K000385,Robin Kelly,,D,D,Robin,L.,Kelly,,F,,,
IL03,R000617,Delia Ramirez,,D,D,Delia,C.,Ramirez,,F,,,
IL04,G000586,Jesús García,,D,D,Jesús,"G. ""Chuy""",García,,M,,,
IL05,Q000023,Mike Quigley,,D,D,Mike,,Quigley,,M,,,
IL06,C001117,Sean Casten,,D,D,Sean,,Casten,,M,,,
IL07,D000096,Danny Davis,,D,D,Danny,K.,Davis,,M,,,
IL08,K000391,Raja Krishnamoorthi,,D,D,Raja,,Krishnamoorthi,,M,,,
IL09,S001145,Janice Schakowsky,,D,D,Janice,D.,Schakowsky,,F,,,
IL10,S001190,Bradley Schneider,,D,D,Bradley,Scott,Schneider,,M,,,
IL11,F000454,Bill Foster,,D,D,Bill,,Foster,,M,,,
IL12,B001295,Mike Bost,,R,R,Mike,,Bost,,M,,,
IL13,B001315,Nikki Budzinski,,D,D,Nikki,,Budzinski,,F,,,
IL14,U000040,Lauren Underwood,,D,D,Lauren,,Underwood,,F,,,
IL15,M001211,Mary Miller,,R,R,Mary,E.,Miller,,F,,,
IL16,L000585,Darin LaHood,,R,R,Darin,,LaHood,,M,,,
IL17,S001225,Eric Sorensen,,D,D,Eric,,Sorensen,,M,,,
IN01,M001214,Frank Mrvan,,D,D,Frank,J.,Mrvan,,M,,,
IN02,Y000067,Rudy Yakym,,R,R,Rudy,,Yakym,III,M,,,
IN03,S001188,Marlin Stutzman,,R,R,Marlin,A.,Stutzman,,M,,,
IN04,B001307,James Baird,,R,R,James,R.,Baird,,M,,,
IN05,S000929,Victoria Spartz,,R,R,Victoria,,Spartz,,F,,,
IN06,S001229,Jefferson Shreve,NEW,R,,Jefferson,Scott,Shreve,,M,1965-09-24,H4IN06185,https://en.wikipedia.org/wiki/Jefferson_Shreve
IN07,C001072,André Carson,,D,D,André,,Carson,,M,,,
IN08,M001233,Mark Messmer,NEW,R,,Mark,,Messmer,,M,1967-12-16,H4IN08249,https://en.wikipedia.org/wiki/Mark_Messmer
IN09,H001093,Erin Houchin,,R,R,Erin,,Houchin,,F,,,
KS01,M000871,Tracey Mann,,R,R,Tracey,,Mann,,M,,,
KS02,S001228,Derek Schmidt,NEW,R,,Derek,Larkin,Schmidt,,M,1968-01-23,H4KS02164,https://en.wikipedia.org/wiki/Derek_Schmidt
KS03,D000629,Sharice Davids,,D,D,Sharice,,Davids,,F,,,
KS04,E000298,Ron Estes,,R,R,Ron,,Estes,,M,,,
KY01,C001108,James Comer,,R,R,James,,Comer,,M,,,
KY02,G000558,Brett Guthrie,,R,R,Brett,,Guthrie,,M,,,
KY03,M001220,Morgan McGarvey,,D,D,Morgan,,McGarvey,,M,,,
KY04,M001184,Thomas Massie,,R,R,Thomas,,Massie,,M,,,
KY05,R000395,Harold Rogers,,R,R,Harold,,Rogers,,M,,,
KY06,B001282,Andy Barr,,R,R,Andy,,Barr,,M,,,
LA01,S001176,Steve Scalise,,R,R,Steve,,Scalise,,M,,,
LA02,C001125,Troy Carter,,D,D,Troy,A.,Carter,,M,,,
LA03,H001077,Clay Higgins,,R,R,Clay,,Higgins,,M,,,
LA04,J000299,Mike Johnson,,R,R,Mike,,Johnson,,M,,,
LA05,L000595,Julia Letlow,,R,R,Julia,,Letlow,,F,,,
LA06,F000110,Cleo Fields,,D,D,Cleo,,Fields,,M,,,
MA01,N000015,Richard Neal,,D,D,Richard,E.,Neal,,M,,,
MA02,M000312,James McGovern,,D,D,James,P.,McGovern,,M,,,
MA03,T000482,Lori Trahan,,D,D,Lori,,Trahan,,F,,,
MA04,A000148,Jake Auchincloss,,D,D,Jake,,Auchincloss,,M,,,
MA05,C001101,Katherine Clark,,D,D,Katherine,M.,Clark,,F,,,
MA06,M001196,Seth Moulton,,D,D,Seth,,Moulton,,M,,,
MA07,P000617,Ayanna Pressley,,D,D,Ayanna,,Pressley,,F,,,
MA08,L000562,Stephen Lynch,,D,D,Stephen,F.,Lynch,,M,,,
MA09,K000375,William Keating,,D,D,William,R.,Keating,,M,,,
MD01,H001052,Andy Harris,,R,R,Andy,,Harris,,M,,,
MD02,O000176,Johnny Olszewski,NEW,D,,Johnny,Anthony,Olszewski,Jr.,M,1982-09-10,H4MD02232,https://en.wikipedia.org/wiki/Johnny_Olszewski
MD03,E000301,Sarah Elfreth,NEW,D,,Sarah,Kelly,Elfreth,,F,1988-09-09,H4MD03156,https://en.wikipedia.org/wiki/Sarah_Elfreth
MD04,I000058,Glenn Ivey,,D,D,Glenn,,Ivey,,M,,,
MD05,H000874,Steny Hoyer,,D,D,Steny,H.,Hoyer,,M,,,
MD06,M001232,April McClain Delaney,NEW,D,,April,Lynn,McClain Delaney,,F,1964-05-28,H4MD06340,https://en.wikipedia.org/wiki/April_McClain-Delaney
MD07,M000687,Kweisi Mfume,,D,D,Kweisi,,Mfume,,M,,,
MD08,R000606,Jamie Raskin,,D,D,Jamie,,Raskin,,M,,,
ME01,P000597,Chellie Pingree,,D,D,Chellie,,Pingree,,F,,,
ME02,G000592,Jared Golden,,D,D,Jared,F.,Golden,,M,,,
MI01,B001301,Jack Bergman,,R,R,Jack,,Bergman,,M,,,
MI02,M001194,John Moolenaar,,R,R,John,R.,Moolenaar,,M,,,
MI03,S001221,Hillary Scholten,,D,D,Hillary,J.,Scholten,,F,,,
MI04,H001058,Bill Huizenga,,R,R,Bill,,Huizenga,,M,,,
MI05,W000798,Tim Walberg,,R,R,Tim,,Walberg,,M,,,
MI06,D000624,Debbie Dingell,,D,D,Debbie,,Dingell,,F,,,
MI07,B001321,Tom Barrett,NEW,R,,Tom,More,Barrett,,M,1981-04-30,H2MI07123,https://en.wikipedia.org/wiki/Tom_Barrett_(Michigan_politician)
MI08,M001237,Kristen McDonald Rivet,NEW,D,,Kristen,Lee,McDonald Rivet,,F,1970-07-11,H4MI08218,https://en.wikipedia.org/wiki/Kristen_McDonald_Rivet
MI09,M001136,Lisa McClain,,R,R,Lisa,C.,McClain,,F,,,
MI10,J000307,John James,,R,R,John,,James,,M,,,
MI11,S001215,Haley Stevens,,D,D,Haley,M.,Stevens,,F,,,
MI12,T000481,Rashida Tlaib,,D,D,Rashida,,Tlaib,,F,,,
MI13,T000488,Shri Thanedar,,D,D,Shri,,Thanedar,,M,,,
MN01,F000475,Brad Finstad,,R,R,Brad,,Finstad,,M,,,
MN02,C001119,Angie Craig,,D,D,Angie,,Craig,,F,,,
MN03,M001234,Kelly Morrison,NEW,D,,Kelly,Louise,Morrison,,F,1969-02-02,H4MN03118,https://en.wikipedia.org/wiki/Kelly_Morrison
MN04,M001143,Betty McCollum,,D,D,Betty,,McCollum,,F,,,
MN05,O000173,Ilhan Omar,,D,D,Ilhan,,Omar,,F,,,
MN06,E000294,Tom Emmer,,R,R,Tom,,Emmer,,M,,,
MN07,F000470,Michelle Fischbach,,R,R,Michelle,,Fischbach,,F,,,
MN08,S001212,Pete Stauber,,R,R,Pete,,Stauber,,M,,,
MO01,B001324,Wesley Bell,NEW,D,,Wesley,Jonell-Cleavon,Bell,,M,1974-11-05,H4MO01134,https://en.wikipedia.org/wiki/Wesley_Bell
MO02,W000812,Ann Wagner,,R,R,Ann,,Wagner,,F,,,
MO03,O000177,Robert Onder,NEW,R,,Robert,F.,Onder,Jr.,M,1962-01-06,H8MO09146,https://en.wikipedia.org/wiki/Bob_Onder
MO04,A000379,Mark Alford,,R,R,Mark,,Alford,,M,,,
MO05,C001061,Emanuel Cleaver,,D,D,Emanuel,,Cleaver,,M,,,
MO06,G000546,Sam Graves,,R,R,Sam,,Graves,,M,,,
MO07,B001316,Eric Burlison,,R,R,Eric,,Burlison,,M,,,
MO08,S001195,Jason Smith,,R,R,Jason,,Smith,,M,,,
MP00,K000404,Kimberlyn King-Hinds,NEW,R,,Kimberlyn,Kay,King-Hinds,,F,,H4MP01022,https://en.wikipedia.org/wiki/Kimberlyn_King-Hinds
MS01,K000388,Trent Kelly,,R,R,Trent,,Kelly,,M,,,
MS02,T000193,Bennie Thompson,,D,D,Bennie,G.,Thompson,,M,,,
MS03,G000591,Michael Guest,,R,R,Michael,,Guest,,M,,,
MS04,E000235,Mike Ezell,,R,R,Mike,,Ezell,,M,,,
MT01,Z000018,Ryan Zinke,,R,R,Ryan,K.,Zinke,,M,,,
MT02,D000634,Troy Downing,NEW,R,,Troy,Bryan,Downing,,M,1967-03-04,H4MT02098,https://en.wikipedia.org/wiki/Troy_Downing
NC01,D000230,Donald Davis,,D,D,Donald,G.,Davis,,M,,,
NC02,R000305,Deborah Ross,,D,D,Deborah,K.,Ross,,F,,,
NC03,M001210,Gregory Murphy,,R,R,Gregory,F.,Murphy,,M,,,
NC04,F000477,Valerie Foushee,,D,D,Valerie,P.,Foushee,,F,,,
NC05,F000450,Virginia Foxx,,R,R,Virginia,,Foxx,,F,,,
NC06,M001240,Addison McDowell,NEW,R,,Addison,Parker,McDowell,,M,1994-01-21,H4NC06177,https://en.wikipedia.org/wiki/Addison_McDowell
NC07,R000603,David Rouzer,,R,R,David,,Rouzer,,M,,,
NC08,H001102,Mark Harris,NEW,R,,Mark,Everette,Harris,,M,1966-04-24,H6NC09200,https://en.wikipedia.org/wiki/Mark_Harris_(North_Carolina_politician)
NC09,H001067,Richard Hudson,,R,R,Richard,,Hudson,,M,,,
NC10,H001101,Pat Harrigan,NEW,R,,Pat,,Harrigan,,M,1987-06-21,H2NC13243,https://en.wikipedia.org/wiki/Pat_Harrigan
NC11,E000246,Chuck Edwards,,R,R,Chuck,,Edwards,,M,,,
NC12,A000370,Alma Adams,,D,D,Alma,S.,Adams,,F,,,
NC13,K000405,Brad Knott,NEW,R,,Brad,,Knott,,M,1986-04-17,H4NC13116,https://en.wikipedia.org/wiki/Brad_Knott
NC14,M001236,Tim Moore,NEW,R,,Tim,Keith,Moore,,M,1970-10-02,H4NC14015,https://en.wikipedia.org/wiki/Tim_Moore_(North_Carolina_politician)
ND00,F000482,Julie Fedorchak,NEW,R,,Julie,Ann,Fedorchak,,F,1968-09-28,H4ND00061,https://en.wikipedia.org/wiki/Julie_Fedorchak
NE01,F000474,Mike Flood,,R,R,Mike,,Flood,,M,,,
NE02,B001298,Don Bacon,,R,R,Don,,Bacon,,M,,,
NE03,S001172,Adrian Smith,,R,R,Adrian,,Smith,,M,,,
NH01,P000614,Chris Pappas,,D,D,Chris,,Pappas,,M,,,
NH02,G000604,Maggie Goodlander,NEW,D,,Maggie,Vivian,Goodlander,,F,1986-11-04,H4NH02399,https://en.wikipedia.org/wiki/Maggie_Goodlander
NJ01,N000188,Donald Norcross,,D,D,Donald,,Norcross,,M,,,
NJ02,V000133,Jefferson Van Drew,,R,R,Jefferson,,Van Drew,,M,,,
NJ03,C001136,Herbert Conaway,NEW,D,,Herbert,Clark Hoover,Conaway,Jr.,M,1963-01-30,H4NJ03080,https://en.wikipedia.org/wiki/Herb_Conaway
NJ04,S000522,Christopher Smith,,R,R,Christopher,H.,Smith,,M,,,
NJ05,G000583,Josh Gottheimer,,D,D,Josh,,Gottheimer,,M,,,
NJ06,P000034,Frank Pallone,,D,D,Frank,,Pallone,Jr.,M,,,
NJ07,K000398,Thomas Kean,,R,R,Thomas,H.,Kean,Jr.,M,,,
NJ08,M001226,Robert Menendez,,D,D,Robert,,Menendez,,M,,,
NJ09,P000621,Nellie Pou,NEW,D,,Nellie,Avila,Pou,,F,1956-05-20,H4NJ09194,https://en.wikipedia.org/wiki/Nellie_Pou
NJ10,M001229,LaMonica McIver,,D,D,LaMonica,,McIver,,F,,,
NJ11,S001207,Mikie Sherrill,,D,D,Mikie,,Sherrill,,F,,,
NJ12,W000822,Bonnie Watson Coleman,,D,D,Bonnie,,Watson Coleman,,F,,,
NM01,S001218,Melanie Stansbury,,D,D,Melanie,A.,Stansbury,,F,,,
NM02,V000136,Gabe Vasquez,,D,D,Gabe,,Vasquez,,M,,,
NM03,L000273,Teresa Leger Fernandez,,D,D,Teresa,,Leger Fernandez,,F,,,
NV01,T000468,Dina Titus,,D,D,Dina,,Titus,,F,,,
NV02,A000369,Mark Amodei,,R,R,Mark,E.,Amodei,,M,,,
NV03,L000590,Susie Lee,,D,D,Susie,,Lee,,F,,,
NV04,H001066,Steven Horsford,,D,D,Steven,,Horsford,,M,,,
NY01,L000598,Nick LaLota,,R,R,Nick,,LaLota,,M,,,
NY02,G000597,Andrew Garbarino,,R,R,Andrew,R.,Garbarino,,M,,,
NY03,S001201,Thomas Suozzi,,D,D,Thomas,R.,Suozzi,,M,,,
NY04,G000602,Laura Gillen,NEW,D,,Laura,Anne,Gillen,,F,1969-07-10,H4NY04158,https://en.wikipedia.org/wiki/Laura_Gillen
NY05,M001137,Gregory Meeks,,D,D,Gregory,W.,Meeks,,M,,,
