Race,Incumbent Win? Y/N,GovTrack ID,Party,First Name,Last Name,Middle Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),Bioguide ID,FEC.gov ID,Wikidata ID
CA13,N,,R,John,Duarte,,,M,1966-09-06,,H2CA13131,Q115574315
CA14,N,412514,D,Eric,Swalwell,,,,,,H2CA15094,Q3466996
CA15,N,,D,Kevin,Mullin,,,M,1970-06-15,,H2CA14162,Q6397046
CA16,N,400124,D,Anna,Eshoo,,,,,,H8CA12098,Q291193
CA17,Y,412684,D,Ro,Khanna,,,,,,H4CA12055,Q7339221
CA18,N,400245,D,Zoe,Lofgren,,,,,,H4CA16049,Q218217
CA19,N,412685,D,Jimmy,Panetta,,,,,,H6CA20152,Q27733776
CA20,N,412190,R,Kevin,McCarthy,,,,,,H6CA22125,Q766866
CA21,N,400618,D,Jim,Costa,,,,,,H4CA20082,Q675869
CA22,N,412515,R,David,Valadao,,,,,,,
CA23,N,456801,R,Jay,Obernolte,,,,1970-08-18,,H0CA08135,Q16849797
CA24,Y,412686,D,Salud,Carbajal,,,,,,H6CA24303,Q27805429
CA25,N,412519,D,Raul,Ruiz,,,,,,H2CA36439,Q3701994
CA26,Y,412516,D,Julia,Brownley,,,,,,H2CA00120,Q3577073
CA27,N,456792,R,Mike,Garcia,,,,,,,
CA28,N,412379,D,Judy,Chu,,,,,,H0CA32101,Q460035
CA29,Y,412517,D,Tony,Cárdenas,,,,,,H2CA28113,Q3620422
CA30,N,400361,D,Adam,Schiff,,,,,,H0CA27085,Q350843
CA31,N,400290,D,Grace,Napolitano,,,,,,H8CA34068,Q469139
CA32,N,400371,D,Brad,Sherman,,,,,,H6CA24113,Q672919
CA33,N,412615,D,Pete,Aguilar,,,,,,H2CA31125,Q7171821
CA34,Y,412739,D,Jimmy,Gomez,,,,,,H8CA34266,Q6200205
CA35,Y,412617,D,Norma,Torres,,,,,,H4CA35031,Q3343727
CA36,N,412616,D,Ted,Lieu,,,,,,H4CA33119,Q7693450
CA37,N,,D,Sydney,Kamlager,Kai,,F,1972-07-20,,H2CA37304,Q20177418
CA38,Y,400355,D,Linda,Sánchez,,,,,,H2CA39078,Q291143
CA39,N,412520,D,Mark,Takano,,,,,,H2CA43245,Q399593
CA40,N,456802,R,Young,Kim,Oak,,,1962-10-18,,H8CA39240,Q19662859
CA41,N,400057,R,Ken,Calvert,,,,,,H2CA37023,Q538978
CA42,N,,D,Robert,Garcia,Julio,,M,1977-12-02,,H2CA47188,Q16204904
CA43,Y,400422,D,Maxine,Waters,,,,,,H4CA23011,Q461727
CA44,Y,412687,D,Nanette,Barragán,,,,,,H6CA44103,Q21662745
CA45,N,456803,R,Michelle,Steel,Eunjoo,,,1955-06-21,,H0CA48198,Q6837200
CA46,Y,412688,D,Lou,Correa,,,,,,H6CA46116,Q6685454
CA47,N,412758,D,Katie,Porter,,,,,,,
CA48,N,400196,R,Darrell,Issa,Edward,,,1953-11-01,,H0CA50178,Q1166592
CA49,Y,412760,D,Mike,Levin,,,,,,H8CA49058,Q55424854
CA50,N,412523,D,Scott,Peters,,,,,,H2CA52089,Q3791514
CA51,N,456804,D,Sara,Jacobs,,,,,,H8CA49074,Q50825637
CA52,N,412522,D,Juan,Vargas,,,,,,H2CA50026,Q3791701
CO1,Y,400101,D,Diana,DeGette,,,,,,H6CO01141,Q437159
CO2,Y,412761,D,Joe,Neguse,,,,,,H8CO02160,Q57242006
CO3,Y,456805,R,Lauren,Boebert,Opal,,,1986-12-15,,H0CO03165,Q96761544
CO4,Y,412619,R,Ken,Buck,,,,,,H4CO04090,Q1439421
CO5,Y,412191,R,Doug,Lamborn,,,,,,H6CO05159,Q371106
CO6,Y,412762,D,Jason,Crow,,,,,,H8CO06229,Q58323071
CO7,N,,D,Brittany,Pettersen,Louise,,F,,,H8CO07045,Q16734469
CO8,N,,D,Yadira,Caraveo,D.,,F,1980-12-23,,H2CO08020,Q59193450
CT1,Y,400233,D,John,Larson,,,,,,H8CT01046,Q357832
CT2,Y,412193,D,Joe,Courtney,,,,,,H2CT02112,Q434470
CT3,Y,400103,D,Rosa,DeLauro,,,,,,H0CT03072,Q434952
CT4,Y,412282,D,Jim,Himes,,,,,,H8CT04172,Q1689111
CT5,Y,412763,D,Jahana,Hayes,,,,,,S2PA00497,Q24951316
DC0,Y,400295,D,Eleanor,Norton,Holmes,,,,,H0DC00058,Q461649
DE0,Y,412689,D,Lisa,Blunt Rochester,,,,,,H6DE00206,Q26899141
FL1,Y,412690,R,Matt,Gaetz,,,,,,H6FL01119,Q16221742
FL2,Y,412691,R,Neal,Dunn,,,,,,H6FL02208,Q27733851
FL3,Y,456806,R,Kat,Cammack,,,,1988-02-16,,H0FL03175,Q98523243
FL4,N,,R,Aaron,Bean,Paul,,M,1967-01-25,,H2FL04211,Q4661833
FL5,N,412692,R,John,Rutherford,,,,,,H6FL04105,Q6256043
FL6,Y,412764,R,Michael,Waltz,,,,,,H8FL06148,Q55386653
FL7,N,,R,Cory,Mills,,,M,1980-07-30,,H2FL07156,Q115137377
FL8,Y,412309,R,Bill,Posey,,,,,,H8FL15107,Q862373
FL9,Y,412695,D,Darren,Soto,,,,,,H6FL09179,Q5225162
FL10,N,,D,Maxwell,Frost,Alejandro,,M,1997-01-17,,H2FL10259,Q113587724
FL11,Y,412410,R,Daniel,Webster,,,,,,H0FL08208,Q1163099
FL12,Y,412250,R,Gus,Bilirakis,,,,,,H6FL09070,Q1555314
FL13,N,,R,Anna,Paulina Luna,(Paulina),,F,1989-05-06,,H0FL13158,Q115174760
FL14,Y,412195,D,Kathy,Castor,,,,,,H6FL11126,Q458492
FL15,N,,R,Laurel,Lee,Frances,,F,,,H2FL15241,Q61483038
FL16,Y,412196,R,Vern,Buchanan,,,,,,H6FL13148,Q2517229
FL17,Y,412766,R,Greg,Steube,,,,,,H8FL17053,Q5606295
FL18,N,456807,R,Scott,Franklin,,,,,,H0FL15104,Q101198561
FL19,Y,456808,R,Byron,Donalds,Lowell,,,1972-10-28,,H0FL19205,Q59726216
FL20,Y,456865,D,Sheila,Cherfilus-McCormick,,,,,,H8FL20032,Q109560948
FL21,N,412698,R,Brian,Mast,,,,,,H6FL18097,Q27733854
FL22,N,412529,D,Lois,Frankel,,,,,,H2FL14053,Q3182451
FL23,N,,D,Jared,Moskowitz,Evan,,M,1980-12-18,,H2FL22171,Q16221073
FL24,Y,412412,D,Frederica,Wilson,,,,,,H0FL17068,Q461504
FL25,N,400623,D,Debbie,Wasserman Schultz,,,,,,H4FL20023,Q50104
FL26,N,400108,R,Mario,Diaz-Balart,,,,,,H2FL25018,Q767270
FL27,Y,456810,R,Maria,Salazar,Elvira,,,1961-11-01,,H8FL27185,Q6003715
FL28,N,456809,R,Carlos,Giménez,A.,,,1954-01-17,,H0FL26036,Q5041653
GA1,Y,412622,R,Earl,Carter,,,,,,H4GA01039,Q16240994
GA2,Y,400030,D,Sanford,Bishop,,,,,,H2GA02031,Q983428
GA3,Y,412700,R,Drew,Ferguson,,IV,,,,H6GA03113,Q26157659
GA4,Y,412199,D,Hank,Johnson,,,,,,H6GA04129,Q983537
GA5,Y,456811,D,Nikema,Williams,Natassha,,,1978-07-30,,H0GA05301,Q56486570
GA6,N,,R,Rich,McCormick,Dean,,M,1968-10-07,,H0GA07273,Q115474083
GA7,N,412769,D,Lucy,McBath,,,,1970-06-03,,H8GA07201,Q58333638
GA8,Y,412417,R,Austin,Scott,,,,,,,Q781167
GA9,Y,456813,R,Andrew,Clyde,,,,1963-11-22,,H0GA09246,Q102277679
GA10,N,,R,Mike,Collins,Allen,Jr.,M,1967-07-02,,H4GA10071,
GA11,Y,412624,R,Barry,Loudermilk,,,,,,H4GA11061,Q16731643
GA12,Y,412625,R,Rick,Allen,,,,,,H2GA12121,Q18683976
GA13,Y,400363,D,David,Scott,,,,,,H2GA13012,Q132071
GA14,Y,456814,R,Marjorie,Greene,Taylor,,,1974-05-27,,H0GA06192,Q98380406
GU0,N,,R,James (Jim),Moylan,Camacho,,M,,,H2GU01031,Q114108969
HI1,Y,400069,D,Ed,Case,,,,,,H2HI02128,Q597613
HI2,N,,D,Jill,Tokuda,Naomi,,F,1976-03-28,,H2HI02581,Q13562293
IA1,Y,456817,R,Mariannette,Miller-Meeks,Jane,,,1955-09-06,,H8IA02043,Q58495662
IA2,Y,456816,R,Ashley,Hinson,,,,1983-06-27,,H0IA01174,Q60713905
IA3,N,,R,Zachary (Zach),Nunn,Martin,,M,1979-05-04,,H2IA03119,Q84719792
IA4,Y,456818,R,Randy,Feenstra,L.,,,1969-01-14,,H0IA04145,Q7292187
ID1,Y,412773,R,Russ,Fulcher,,,,,,H8ID01124,Q7381134
ID2,Y,400376,R,Mike,Simpson,,,,,,H8ID02064,Q549521
IL1,N,,D,Jonathan,Jackson,Luther,,M,1966-01-07,,H2IL01349,Q6273473
IL2,Y,412595,D,Robin,Kelly,,,,,,H2IL02172,Q3437091
IL3,N,,D,Delia,Ramirez,Catalina,,F,1983-06-02,,H2IL03162,Q58416610
IL4,Y,412774,D,Chuy,Garcia,,,,,,H8IL04134,Q18631698
IL5,Y,412331,D,Mike,Quigley,,,,,,H0IL05096,Q465767
IL6,Y,412775,D,Sean,Casten,,,,,,H8IL06139,Q55386655
IL7,Y,400093,D,Danny,Davis,,,,,,H4IL07037,Q1164657
IL8,Y,412701,D,Raja,Krishnamoorthi,,,,,,H6IL08147,Q7285471
IL9,Y,400360,D,Jan,Schakowsky,,,,,,H8IL09067,Q440885
IL10,Y,412534,D,Brad,Schneider,,,,,,H2IL10068,Q2923426
IL11,Y,412257,D,Bill,Foster,,,,,,H8IL14067,Q2903389
IL12,Y,412629,R,Mike,Bost,,,,,,H4IL12060,Q6846090
IL13,N,,D,Nicole (Nikki),Budzinski,Jai,,F,,,H2IL13153,Q111342337
IL14,Y,412776,D,Lauren,Underwood,,,,,,H8IL14174,Q48471874
IL15,Y,456820,R,Mary,Miller,,,,1959-08-27,,H0IL15129,Q101204553
IL16,N,412674,R,Darin,LaHood,,,,,,H6IL18088,Q5222780
IL17,N,,D,Eric,Sorensen,,,M,1976-03-18,,H2IL17147,Q115182513
IN1,Y,456821,D,Frank,Mrvan,John,,,1969-04-16,,H0IN01150,Q96077897
IN2,N,456873,R,Rudy,Yakym,,,,,,H2IN02295,Q115137719
IN3,Y,412702,R,Jim,Banks,,,,,,H6IN03229,Q16146788
IN4,Y,412777,R,James,Baird,,,,,,H8IN04199,Q48813213
IN5,Y,456822,R,Victoria,Spartz,,,,1978-10-06,,H0IN05326,Q44059867
IN6,Y,412778,R,Greg,Pence,,,,,,H8IN06129,Q52151577
IN7,Y,412258,D,André,Carson,,,,,,H8IN07184,Q517649
IN8,Y,412427,R,Larry,Bucshon,,,,,,H0IN08114,Q944286
IN9,N,,R,Erin,Houchin,Suzanne,,F,1976-09-24,,H6IN09143,Q20676994
KS1,Y,456823,R,Tracey,Mann,Robert,,,1976-12-17,,H0KS01123,Q48767554
KS2,Y,456824,R,Jacob,LaTurner,,,,1988-02-17,,H0KS02188,Q16731273
KS3,Y,412780,D,Sharice,Davids,,,,,,H8KS03155,Q58322868
KS4,Y,412735,R,Ron,Estes,,,,,,H8KS04112,Q7363747
KY1,Y,412676,R,James,Comer,,,,,,H6KY01110,Q6131602
KY2,Y,412278,R,Brett,Guthrie,,,,,,H8KY02031,Q910794
KY3,N,,D,John,McGarvey,Morgan (goes by Morgan),,M,1979-12-23,,H2KY03206,Q16732298
KY4,Y,412503,R,Thomas,Massie,,,,,,H2KY04121,Q2426031
KY5,Y,400340,R,Hal,Rogers,,,,,,H0KY05015,Q547153
KY6,Y,412541,R,Andy,Barr,,,,,,H0KY06104,Q3828645
LA1,Y,412261,R,Steve,Scalise,,,,,,H0LA01087,Q1857141
LA2,Y,456860,D,Troy,Carter,,,,,,H2LA02149,Q7846787
LA3,Y,412705,R,Clay,Higgins,,,,,,H6LA03148,Q25849505
LA4,Y,412706,R,Mike,Johnson,,,,,,H6LA04138,Q19880665
LA5,Y,456859,R,Julia,Letlow,,,,,,H2LA05126,Q106089241
LA6,Y,412631,R,Garret,Graves,,,,,,H4LA06153,Q18686454
MA1,Y,400291,D,Richard,Neal,,,,,,H8MA02041,Q1464697
MA2,Y,400263,D,Jim,McGovern,,,,,,H4MA03022,Q1337459
MA3,Y,412781,D,Lori,Trahan,,,,,,H8MA03106,Q56486676
MA4,Y,456825,D,Jake,Auchincloss,Daniel,,,1988-01-29,,H0MA04192,Q101196632
MA5,Y,412600,D,Katherine,Clark,,,,,,H4MA05084,Q6376330
MA6,Y,412632,D,Seth,Moulton,,,,,,H4MA06090,Q18045052
MA7,Y,412782,D,Ayanna,Pressley,,,,,,H8MA07032,Q13562359
MA8,Y,400249,D,Stephen,Lynch,,,,,,H2MA09072,Q2344921
MA9,Y,412435,D,Bill,Keating,,,,,,H0MA10082,Q775412
MD1,Y,412434,R,Andy,Harris,,,,,,H8MD01094,Q506639
MD2,Y,400349,D,Dutch,Ruppersberger,,,,,,H2MD02160,Q981559
MD3,Y,412212,D,John,Sarbanes,,,,,,H6MD03292,Q984509
MD4,N,,D,Glenn,Ivey,Frederick,,M,1961-02-27,,H2MD04315,Q22004572
MD5,Y,400189,D,Steny,Hoyer,,,,,,H2MD05155,Q516515
MD6,Y,412783,D,David,Trone,,,,,,H6MD08549,Q29446408
MD7,Y,407672,D,Kweisi,Mfume,,,,,,H6MD07020,Q519504
MD8,Y,412708,D,Jamie,Raskin,,,,,,H6MD08457,Q640835
ME1,Y,412307,D,Chellie,Pingree,,,,,,H8ME01120,Q457243
ME2,Y,412842,D,Jared,Golden,,,,,,H8ME02185,Q41694157
MI1,Y,412709,R,Jack,Bergman,,,,,,H6MI01226,Q6262116
MI2,N,412634,R,John,Moolenaar,,,,,,H4MI04126,Q16194212
MI3,N,,D,Hillary,Scholten,Jeanne,,F,1982-02-22,,H0MI03316,Q115137368
MI4,N,412437,R,Bill,Huizenga,,,,,,H0MI02094,Q862199
MI5,N,412213,R,Tim,Walberg,,,,,,H4MI07103,Q978618
MI6,N,412637,D,Debbie,Dingell,,,,,,H4MI12079,Q5248232
MI7,N,412784,D,Elissa,Slotkin,,,,,,H8MI08102,Q30323721
MI8,N,412546,D,Dan,Kildee,,,,,,H2MI05119,Q3880272
MI9,N,456827,R,Lisa,McClain,,,,,,H0MI10287,Q102184540
MI10,N,,R,John,James,Edwards,,M,1981-06-08,,H2MI10150,Q56027187
MI11,Y,412786,D,Haley,Stevens,,,,,,H8MI11254,Q58322563
MI12,N,412787,D,Rashida,Tlaib,,,,,,H8MI13250,Q7294939
MI13,N,,D,Shri,Thanedar,,,M,1955-02-22,,H2MI13204,Q7503912
MN1,Y,456869,R,Brad,Finstad,,,,,,H2MN01223,Q111159803
MN2,Y,412789,D,Angie,Craig,,,,,,H6MN02131,Q58324174
MN3,Y,412790,D,Dean,Phillips,,,,,,H8MN03143,Q58323131
MN4,Y,400259,D,Betty,McCollum,,,,,,H0MN04049,Q434893
MN5,Y,412791,D,Ilhan,Omar,,,,,,H8MN05239,Q26436159
MN6,Y,412639,R,Tom,Emmer,,,,,,H4MN06087,Q7815723
MN7,Y,456828,R,Michelle,Fischbach,Louise Helene,,,1965-11-03,,H0MN07091,Q6837025
MN8,Y,412792,R,Pete,Stauber,,,,,,H8MN08043,Q55955746
MO1,Y,456829,D,Cori,Bush,,,,1976-07-21,,H8MO01143,Q98084800
MO2,Y,412548,R,Ann,Wagner,,,,,,H2MO02102,Q3917251
MO3,Y,412292,R,Blaine,Luetkemeyer,,,,,,H8MO09153,Q522181
MO4,N,,R,Mark,Alford,Allen,,M,1963-10-04,,H2MO04207,Q115137637
MO5,Y,400639,D,Emanuel,Cleaver,,,,,,H4MO05234,Q1334654
MO6,Y,400158,R,Sam,Graves,,,,,,H0MO06073,Q465638
MO7,N,,R,Eric,Burlison,Wayne,,M,1976-10-02,,H2MO07143,Q5386212
MO8,Y,412596,R,Jason,Smith,,,,,,H4MO08162,Q6163589
MP0,Y,412312,D,Gregorio,Sablan,,,,,,H8MP00041,Q3116336
MS1,Y,412673,R,Trent,Kelly,,,,,,H6MS01131,Q20204915
MS2,Y,400402,D,Bennie,Thompson,,,,,,H4MS02068,Q817877
MS3,Y,412793,R,Michael,Guest,,,,,,H8MS03125,Q60428645
MS4,N,,R,Walter,Ezell,Michael (goes by Mike),,M,,,H2MS04258,Q115137554
MT1,N,412640,R,Ryan,Zinke,,,,,,,Q7384672
MT2,N,456830,R,Matt,Rosendale,,,,,,,
NC1,N,,D,Donald,Davis,Gene,,M,1971-08-29,,H2NC02287,Q5294403
NC2,Y,456831,D,Deborah,Ross,Koff,,,1963-06-20,,H0NC02125,Q5248285
NC3,Y,412845,R,Greg,Murphy,,,,,,H0NC03172,Q23074266
NC4,N,,D,Valerie,Foushee,Jean,,F,1956-05-07,,H2NC06114,Q16729064
NC5,Y,400643,R,Virginia,Foxx,,,,,,H4NC05146,Q458453
NC6,Y,456832,D,Kathy,Manning,Ellen,,,1956-12-03,,H8NC13067,Q101136890
NC7,Y,412641,R,David,Rouzer,,,,,,H2NC07096,Q5239255
NC8,N,412844,R,Dan,Bishop,,,,,,H0NC09187,Q20090301
NC9,N,412550,R,Richard,Hudson,,,,,,H2NC08185,Q3956999
NC10,Y,400644,R,Patrick,McHenry,,,,,,H4NC10047,Q2057809
NC11,N,,R,Charles (Chuck),Edwards,Marion,,M,1960-09-13,,H2NC14050,Q55065043
NC12,Y,412607,D,Alma,Adams,,,,,,H4NC12100,Q4733597
NC13,N,,D,George,Nickel,Wiley (uses as 1st),III,M,1975-11-23,,H2NC14019,Q58494710
NC14,N,,D,Jeffrey,Jackson,Neale,,M,1982-09-12,,H2NC14076,Q17183308
ND0,Y,412794,R,Kelly,Armstrong,,,,,,H8ND00096,Q50362353
NE1,Y,456868,R,Mike,Flood,,,,,,H2NE01118,Q6846855
NE2,Y,412713,R,Don,Bacon,,,,,,H6NE02125,Q19757583
NE3,Y,412217,R,Adrian,Smith,,,,,,H6NE03115,Q373443
NH1,Y,412795,D,Chris,Pappas,,,,,,H8NH01210,Q5107684
NH2,Y,412557,D,Annie,Kuster,,,,,,H0NH02181,Q3917208
NJ1,Y,412606,D,Donald,Norcross,,,,,,H4NJ01084,Q5294942
NJ2,Y,412796,R,Jeff,Van Drew,,,,,,H8NJ02166,Q6175202
NJ3,Y,412797,D,Andy,Kim,,,,,,H8NJ03206,Q55639180
NJ4,Y,400380,R,Chris,Smith,,,,,,H8NJ04014,Q981167
NJ5,Y,412714,D,Josh,Gottheimer,,,,,,H6NJ05171,Q6288908
NJ6,Y,400308,D,Frank,Pallone,,,,,,H8NJ03073,Q965289
NJ7,N,,R,Thomas,Kean,Howard,Jr.,M,1968-09-05,,H0NJ07261,Q7791445
NJ8,N,,D,Robert,Menendez,Jacobsen,Jr.,M,1985-07-12,,H2NJ08232,Q115137457
NJ9,Y,400309,D,Bill,Pascrell,,,,,,H6NJ08118,Q529090
NJ10,Y,412506,D,Donald,Payne,,Jr.,,,,H2NJ10154,Q1240224
NJ11,Y,412799,D,Mikie,Sherrill,,,,,,H8NJ11142,Q47087146
NJ12,Y,412644,D,Bonnie,Watson Coleman,,,,,,H4NJ12149,Q4942457
NM1,Y,456861,D,Melanie,Stansbury,,,,,,H2NM01144,Q96184996
NM2,N,,D,Gabriel (Gabe),Vasquez,,,M,1984-08-03,,H2NM02191,Q115155647
NM3,Y,456835,D,Teresa,Fernandez,Leger,,F,1959-07-01,,S0NJ00258,Q96054905
NV1,Y,412318,D,Dina,Titus,,,,,,H8NV03036,Q524440
NV2,Y,412500,R,Mark,Amodei,,,,,,H2NV02395,Q23944
NV3,Y,412802,D,Susie,Lee,,,,,,H6NV04020,Q58333611
NV4,Y,412559,D,Steven,Horsford,,,,,,H2NV04011,Q3514907
NY1,N,,R,Nicolas,LaLota,Joseph,,M,1978-06-23,,H2NY01190,Q115168182
NY2,Y,456836,R,Andrew,Garbarino,,,M,1984-09-27,,H0NY02234,Q21257859
NY3,N,,R,George,Santos,Anthony Devolder,,M,1988-07-22,,H0NY03083,Q115170395
NY4,N,,R,Anthony,D'Esposito,P.,,M,1982-02-22,,H2NY04277,Q115170420
NY5,Y,400271,D,Gregory,Meeks,,,,,,H8NY06048,Q1545391
NY6,Y,412560,D,Grace,Meng,,,,,,H2NY06116,Q5591303
NY7,Y,400416,D,Nydia,Velázquez,,,,,,H2NY00010,Q434890
NY8,Y,412561,D,Hakeem,Jeffries,,,,,,H2NY10092,Q5640425
NY9,Y,412221,D,Yvette,Clarke,,,,,,H4NY11138,Q461679
NY10,N,,D,Dan,Goldman,Sachs,,M,1976-02-26,,H2NY10308,Q74849175
NY11,Y,456837,R,Nicole,Malliotakis,,,F,1980-11-11,,H0NY11078,Q7030112
NY12,N,400289,D,Jerrold,Nadler,,,,,,H2NY17071,Q505598
NY13,Y,412718,D,Adriano,Espaillat,,,,,,H2NY13096,Q4685569
NY14,Y,412804,D,Alexandria,Ocasio-Cortez,,,,,,H8NY15148,Q55223040
NY15,Y,456838,D,Ritchie,Torres,John,,M,1988-03-12,,H0NY15160,Q16205227
NY16,Y,456839,D,Jamaal,Bowman,,,M,1976-04-01,,H0NY16143,Q96419280
NY17,N,,R,Michael,Lawler,Vincent,,M,1986-09-09,,H2NY17162,Q105179052
NY18,Y,456871,D,Pat,Ryan,,,,,,H8NY19223,Q113587887
NY19,N,,R,Marcus,Molinaro,J.,,M,1975-10-08,,H2NY19127,Q6758333
NY20,Y,412319,D,Paul,Tonko,,,,,,H8NY21203,Q1373548
NY21,Y,412648,R,Elise,Stefanik,,,,,,H4NY21079,Q18211057
NY22,N,,R,Brandon,Williams,McDonald,,M,,,H2NY22212,
NY23,N,,R,Nickolas,Langworthy,A.,,M,1981-02-27,,H2NY23228,Q55356856
NY24,N,412720,R,Claudia,Tenney,,,,,,H4NY22051,Q5129263
NY25,Y,412749,D,Joseph,Morelle,,,,,,H8NY25105,Q6285623
NY26,Y,400641,D,Brian,Higgins,,,,,,H4NY27076,Q505581
OH1,N,,D,Greg,Landsman,John,,M,1976-12-04,,H2OH01194,Q113234151
OH2,Y,412564,R,Brad,Wenstrup,,,,,,H2OH02085,Q892413
