chamber,member_id,previous_member,party,new_id,new_member,winner_party,date_of_birth,gender,state_abbrev,district,new_fec_cand_id
House,M001192,Vance  McAllister,R,,Ralph Abraham,R,9/16/1954,M,LA,5,H4LA05221
House,C001075,Bill Cassidy,R,,Garret Graves,R,1/31/1972,M,LA,6,H4LA06153
House,N000015,Richard E. Neal,D,N000015,Richard E. Neal,D,2/14/1949,M,MA,1,
House,M000312,Jim McGovern,D,M000312,Jim McGovern,D,11/20/1959,M,MA,2,
House,T000465,Niki Tsongas,D,T000465,Niki Tsongas,D,4/26/1946,F,MA,3,
House,K000379,Joseph P. Kennedy III,D,K000379,Joseph P. Kennedy III,D,10/4/1980,M,MA,4,
House,C001101,Katherine  Clark,D,C001101,Katherine  Clark,D,7/17/1963,F,MA,5,
House,T000266,John F. Tierney,D,,Seth Moulton,D,10/24/1978,M,MA,6,H4MA06090
House,C001037,Michael E. Capuano,D,C001037,Michael E. Capuano,D,1/9/1952,M,MA,7,
House,L000562,Stephen F. Lynch,D,L000562,Stephen F. Lynch,D,3/31/1955,M,MA,8,
House,K000375,Bill Keating,D,K000375,Bill Keating,D,9/6/1952,M,MA,9,
House,H001052,Andy Harris,R,H001052,Andy Harris,R,1/25/1957,M,MD,1,
House,R000576,C.A. Dutch Ruppersberger,D,R000576,C.A. Dutch Ruppersberger,D,1/31/1946,M,MD,2,
House,S001168,John Sarbanes,D,S001168,John Sarbanes,D,5/22/1962,M,MD,3,
House,E000290,Donna Edwards,D,E000290,Donna Edwards,D,6/28/1958,F,MD,4,
House,H000874,Steny H. Hoyer,D,H000874,Steny H. Hoyer,D,6/14/1939,M,MD,5,
House,D000620,John Delaney,D,D000620,John Delaney,D,4/16/1963,M,MD,6,
House,C000984,Elijah E. Cummings,D,C000984,Elijah E. Cummings,D,1/18/1951,M,MD,7,
House,V000128,Chris Van Hollen,D,V000128,Chris Van Hollen,D,1/10/1959,M,MD,8,
House,P000597,Chellie Pingree,D,P000597,Chellie Pingree,D,4/2/1955,F,ME,1,
House,M001149,Michael H. Michaud,R,,Bruce Poliquin,R,11/1/1953,M,ME,2,"S2ME00158,H4ME02234"
House,B001271,Dan Benishek,R,B001271,Dan Benishek,R,4/20/1952,M,MI,1,
House,H001058,Bill Huizenga,R,H001058,Bill Huizenga,R,1/31/1969,M,MI,2,
House,A000367,Justin Amash,R,A000367,Justin Amash,R,4/18/1980,M,MI,3,
House,C000071,Dave Camp,R,,John Moolenaar,R,5/8/1961,M,MI,4,H4MI04126
House,K000380,Dan Kildee,D,K000380,Dan Kildee,D,8/11/1958,M,MI,5,
House,U000031,Fred Upton,R,U000031,Fred Upton,R,4/23/1953,M,MI,6,
House,W000798,Tim Walberg,R,W000798,Tim Walberg,R,4/12/1951,M,MI,7,
House,R000572,Mike Rogers,R,,Mike Bishop,R,3/18/1967,M,MI,8,H4MI08135
House,L000263,Sander M. Levin,D,L000263,Sander M. Levin,D,9/6/1931,M,MI,9,
House,M001150,Candice S. Miller,R,M001150,Candice S. Miller,R,5/7/1954,F,MI,10,
House,B001280,Kerry Bentivolio,R,,Dave Trott,R,10/16/1960,M,MI,11,H4MI11097
House,D000355,John D. Dingell,D,,Debbie Dingell,D,11/23/1953,F,MI,12,H4MI12079
House,C000714,John Conyers Jr.,D,C000714,John Conyers Jr.,D,5/16/2029,M,MI,13,
House,P000595,Gary Peters,D,,Brenda Lawrence,D,10/18/1954,F,MI,14,H2MI14111
House,W000799,Tim Walz,D,W000799,Tim Walz,D,4/6/1964,M,MN,1,
House,K000363,John Kline,R,K000363,John Kline,R,9/6/1947,M,MN,2,
House,P000594,Erik Paulsen,R,P000594,Erik Paulsen,R,5/14/1965,M,MN,3,
House,M001143,Betty McCollum,D,M001143,Betty McCollum,D,7/12/1954,F,MN,4,
House,E000288,Keith Ellison,D,E000288,Keith Ellison,D,8/4/1963,M,MN,5,
House,B001256,Michele Bachmann,R,,Tom Emmer,R,3/3/1961,M,MN,6,H4MN06087
House,P000258,Collin C. Peterson,D,P000258,Collin C. Peterson,D,6/29/1944,M,MN,7,
House,N000127,Rick Nolan,D,N000127,Rick Nolan,D,12/17/1943,M,MN,8,
House,C001049,William Lacy Clay,D,C001049,William Lacy Clay,D,7/27/1956,M,MO,1,
House,W000812,Ann Wagner,R,W000812,Ann Wagner,R,9/13/1962,F,MO,2,
House,L000569,Blaine Luetkemeyer,R,L000569,Blaine Luetkemeyer,R,5/7/1952,M,MO,3,
House,H001053,Vicky Hartzler,R,H001053,Vicky Hartzler,R,10/13/1960,F,MO,4,
House,C001061,Emanuel Cleaver II,D,C001061,Emanuel Cleaver II,D,10/26/1944,M,MO,5,
House,G000546,Sam Graves,R,G000546,Sam Graves,R,11/7/1963,M,MO,6,
House,L000576,Billy Long,R,L000576,Billy Long,R,8/11/1955,M,MO,7,
House,S001195,Jason  Smith,R,S001195,Jason Smith,R,6/16/1980,M,MO,8,
House,N000186,Alan Nunnelee,R,N000186,Alan Nunnelee,R,10/9/1958,M,MS,1,
House,T000193,Bennie Thompson,D,T000193,Bennie Thompson,D,1/28/1948,M,MS,2,
House,H001045,Gregg Harper,R,H001045,Gregg Harper,R,6/1/1956,M,MS,3,
House,P000601,Steven Palazzo,R,P000601,Steven Palazzo,R,2/21/1970,M,MS,4,
House,D000618,Steve Daines,R,,Ryan Zinke,R,11/1/1961,M,MT,1,H4MT01041
House,B001251,G. K. Butterfield,D,B001251,G. K. Butterfield,D,4/27/1947,M,NC,1,
House,E000291,Renee Ellmers,R,E000291,Renee Ellmers,R,2/9/1964,F,NC,2,
House,J000255,Walter B. Jones,R,J000255,Walter B. Jones,R,2/10/1943,M,NC,3,
House,P000523,David E. Price,D,P000523,David E. Price,D,8/17/1940,M,NC,4,
House,F000450,Virginia Foxx,R,F000450,Virginia Foxx,R,6/29/1943,F,NC,5,
House,C000556,Howard Coble,R,C000556,Mark Walker,R,5/20/1969,M,NC,6,
House,M000485,Mike McIntyre,R,,David Rouzer,R,5/27/1946,M,NC,7,H2NC07096
House,H001067,Richard Hudson,R,H001067,Richard Hudson,R,11/4/1971,M,NC,8,
House,P000606,Robert Pittenger,R,P000606,Robert Pittenger,R,8/15/1948,M,NC,9,
House,M001156,Patrick T. McHenry,R,M001156,Patrick T. McHenry,R,10/22/1975,M,NC,10,
House,M001187,Mark Meadows,R,M001187,Mark Meadows,R,7/28/1959,M,NC,11,
House,,(Watt),D,A000370,Alma Adams,D,2/16/1972,F,NC,12,H4NC12100
House,H001065,George Holding,R,H001065,George Holding,R,4/17/1968,M,NC,13,
House,C001096,Kevin Cramer,R,C001096,Kevin Cramer,R,1/21/1961,M,ND,AL,
House,F000449,Jeff Fortenberry,R,F000449,Jeff Fortenberry,R,12/27/1960,M,NE,1,
House,T000459,Lee Terry,D,,Brad Ashford,D,11/10/1949,M,NE,2,H4NE02054
House,S001172,Adrian Smith,R,S001172,Adrian Smith,R,12/19/1970,M,NE,3,
House,S001170,Carol Shea-Porter,R,G000570,Frank Guinta,R,9/26/1970,M,NH,1,
House,K000382,Ann McLane Kuster,D,K000382,Ann McLane Kuster,D,9/5/1956,F,NH,2,
House,,(Andrews),D,N000188,Donald Norcross,D,12/13/1958,M,NJ,1,
House,L000554,Frank A. LoBiondo,R,L000554,Frank A. LoBiondo,R,5/12/1946,M,NJ,2,
House,R000594,Jon Runyan,R,,Tom MacArthur,R,10/16/1960,M,NJ,3,H4NJ03130
House,S000522,Christopher H. Smith,R,S000522,Christopher H. Smith,R,3/4/1953,M,NJ,4,
House,G000548,Scott Garrett,R,G000548,Scott Garrett,R,7/9/1959,M,NJ,5,
House,P000034,Frank Pallone,D,P000034,Frank Pallone,D,10/30/1951,M,NJ,6,
House,L000567,Leonard Lance,R,L000567,Leonard Lance,R,6/25/1952,M,NJ,7,
House,S001165,Albio Sires,D,S001165,Albio Sires,D,1/26/1951,M,NJ,8,
House,P000096,Bill Pascrell Jr.,D,P000096,Bill Pascrell Jr.,D,1/25/1937,M,NJ,9,
House,P000604,Donald M. Payne Jr.,D,P000604,Donald M. Payne Jr.,D,12/17/1958,M,NJ,10,
House,F000372,Rodney Frelinghuysen,R,F000372,Rodney Frelinghuysen,R,4/29/1946,M,NJ,11,
House,H001032,Rush Holt,D,,Bonnie Watson Coleman,D,2/6/1945,F,NJ,12,H4NJ12149
House,L000580,Michelle Lujan Grisham,D,L000580,Michelle Lujan Grisham,D,10/24/1959,F,NM,1,
House,P000588,Steve Pearce,R,P000588,Steve Pearce,R,8/24/1947,M,NM,2,
House,L000570,Ben Ray Lujan,D,L000570,Ben Ray Lujan,D,6/7/1972,M,NM,3,
House,T000468,Dina Titus,D,T000468,Dina Titus,D,5/23/1950,F,NV,1,
House,A000369,Mark Amodei,R,A000369,Mark Amodei,R,6/12/1958,M,NV,2,
House,H001055,Joe Heck,R,H001055,Joe Heck,R,10/30/1961,M,NV,3,
House,H001066,Steven Horsford,R,,Cresent Hardy,R,6/23/1957,M,NV,4,H4NV04017
House,B001242,Timothy H. Bishop,R,,Lee Zeldin,R,1/30/1980,M,NY,1,H8NY01148
House,K000210,Peter T. King,R,K000210,Peter T. King,R,4/5/1944,M,NY,2,
House,I000057,Steve Israel,D,I000057,Steve Israel,D,5/30/1958,M,NY,3,
House,M000309,Carolyn McCarthy,D,,Kathleen Rice,D,2/15/1965,F,NY,4,H4NY04075
House,M001137,Gregory W. Meeks,D,M001137,Gregory W. Meeks,D,9/25/1953,M,NY,5,
House,M001188,Grace Meng,D,M001188,Grace Meng,D,10/1/1975,F,NY,6,
House,V000081,Nydia M. Velíçzquez,D,V000081,Nydia M. Velazquez,D,3/28/1953,M,NY,7,
House,J000294,Hakeem Jeffries,D,J000294,Hakeem Jeffries,D,8/4/1970,M,NY,8,
House,C001067,Yvette D. Clarke,D,C001067,Yvette D. Clarke,D,11/24/1964,F,NY,9,
House,N000002,Jerrold  Nadler,D,N000002,Jerrold  Nadler,D,6/13/1947,M,NY,10,
House,G000569,Mike Grimm,R,G000569,Mike Grimm,R,2/7/1970,M,NY,11,
House,M000087,Carolyn B. Maloney,D,M000087,Carolyn B. Maloney,D,2/19/1948,F,NY,12,
House,R000053,Charles B. Rangel,D,R000053,Charles B. Rangel,D,6/11/1930,M,NY,13,
House,C001038,Joseph  Crowley,D,C001038,Joseph  Crowley,D,3/16/1962,M,NY,14,
House,S000248,Josí© E. Serrano,D,S000248,Jose E. Serrano,D,10/24/1943,M,NY,15,
House,E000179,Eliot L. Engel,D,E000179,Eliot L. Engel,D,2/18/1947,M,NY,16,
House,L000480,Nita M. Lowey,D,L000480,Nita M. Lowey,D,7/5/1937,F,NY,17,
House,M001185,Sean Patrick Maloney,D,M001185,Sean Patrick Maloney,D,7/30/1966,M,NY,18,
House,G000564,Chris Gibson,R,G000564,Chris Gibson,R,5/13/1964,M,NY,19,
House,T000469,Paul Tonko,D,T000469,Paul Tonko,D,6/18/1949,M,NY,20,
House,O000169,Bill Owens,R,,Elise Stefanik,R,7/2/1984,F,NY,21,H4NY21079
House,H001051,Richard Hanna,R,H001051,Richard Hanna,R,1/25/1951,M,NY,22,
